Mannara 's mother is a jewellery designer and her father is a lawyer . ||| La madre de Mannara es un diseñador de joyas y su padre es un abogado.
A Hearst writer ghost wrote the newspaper page after 1918 , but the designer herself penned the " Good Housekeeping " and " Harper 's Bazaar " features throughout their duration , although the responsibility of producing a regular piece proved difficult , and she missed several deadlines . ||| Un fantasma de escritor Hearst escribió la página de los periódicos después de 1918, pero el diseñador mismo escribió las características de "Good Housekeeping" y "Harper's Bazaar" durante toda su duración, aunque la responsabilidad de producir una pieza regular se mostró difícil, y ella perdió varios plazos.
Her mother was an interior designer and her father a " pied noir " and a real estate agent . ||| Su madre era un diseñador de interiores y su padre un "ped noir" y un agente inmobiliario.
The designer first gained international recognition in 2000 with her collection „ Déclaration d’amour à l’Allemagne “ . ||| El diseñador ganó el reconocimiento internacional por primera vez en 2000 con su colección “Declaration d’amour à l’Allemagne”.
The designer also draws on her studies of Bohemianism , Dark Romanticism , and love for the literature , art and music of the Decadent movement . ||| La diseñadora también se centra en sus estudios de Bohemianismo, Romanticismo Oscuro y amor a la literatura, arte y música del movimiento decadente.
AG Hair was founded in 1989 by Lotte Davis , a South African - born graphic designer and her husband John Davis , a hairdresser from Liverpool , in their North Vancouver basement . ||| AG Hair fue fundada en 1989 por Lotte Davis, un diseñador gráfico nacido en Sudáfrica y su marido John Davis, un cabello de Liverpool, en su subterráneo de Vancouver del Norte.
Everything is produced in Moscow under the strict control of the designer herself . ||| Todo se produce en Moscú bajo el estricto control del propio diseñador.
Fashion designer Valentino once commented on her physical resemblance to Marlene Dietrich . ||| El diseñador de moda Valentino una vez comentó sobre su semejanza física con Marlene Dietrich.
Kanai was born in 1978 to parents with artistic backgrounds , her father being a graphic designer and her mother working for the Japanese fashion designer Issey Miyake . ||| Kanai nació en 1978 a padres con un fondo artístico, su padre era un diseñador gráfico y su madre trabajaba para el diseñador de moda japonés Issey Miyake.
No director , choreographer , set designer or costume designer was hired like back in her days as career performer . ||| Ningún director, coreógrafo, diseñador de set o diseñador de costumbres fue contratado como en sus días como performer de carrera.
In 1993 , a Beverly Hills graphic designer who said she had an on-and-off relationship with Sharkey from 1985 to 1991 announced that she was suing Sharkey ' s estate . ||| En 1993, un diseñador gráfico de Beverly Hills que dijo que tenía una relación on-and-off con Sharkey de 1985 a 1991 anunció que estaba buscando la propiedad de Sharkey.
Designer Nicole Miller used Lynn 's " The Last High ( Y - Tron Remix ) " for her Spring 2013 campaign . ||| La diseñadora Nicole Miller utilizó "The Last High ( Y - Tron Remix )" de Lynn para su campaña Primavera 2013.
Costume designer Daphne Dare used artistic license with her costumes in the serial , since male Aztecs usually only wore brief loincloths and cloaks , while women were often topless . ||| El diseñador de trajes Daphne Dare usó una licencia artística con sus trajes en la serie, ya que los aztecos masculinos generalmente sólo usaban cortos y cortos, mientras que las mujeres a menudo eran cortos.
Her mother , Tessa , an interior designer spent time with her children playing tennis during their childhood . ||| Su madre, Tessa, un diseñador de interiores pasó tiempo con sus hijos jugando tenis durante su infancia.
Her maternal grandmother was a talented designer herself , and she displayed talent as a young girl in drawing and making clothes for her dolls . ||| Su abuela materna era una diseñadora talentosa, y ella mostró talento como una joven en dibujar y hacer ropa para sus muñecas.
Anne Fogarty ( February 2 , 1919 – January 15 , 1980 ) was an American fashion designer , active 1940–80 , who was noted for her understated , ladylike designs that were accessible to American women on a limited income . ||| Anne Fogarty (2 de febrero de 1919 - 15 de enero de 1980) fue una diseñadora de moda estadounidense, activa en los años 1940 y 1980, que fue notada por sus diseños que eran accesibles a las mujeres estadounidenses con ingresos limitados.
The designer praised her look and strong photographs , but criticized her runway walk as well as her lack of eye contact . ||| El diseñador elogió su aspecto y las fuertes fotografías, pero criticó su caminata de recorrido así como su falta de contacto ocular.
Her designer was John Henslow , and she was identical with his contemporaneous except that " Echo " was a ship - sloop and " Busy " was a brig - sloop . ||| Su diseñador era John Henslow, y ella era idéntica con su contemporáneo excepto que " Echo " era un barco - sloop y " Busy " era un brig - sloop.
Urai has also worked as a freelance graphic designer and video game journalist and through her work with Microsoft she has been sponsored by the company , wearing an Xbox 360 logo on her gear . ||| Urai también ha trabajado como diseñadora gráfica y periodista de videojuegos y a través de su trabajo con Microsoft ha sido patrocinada por la compañía, llevando un logotipo Xbox 360 en su dispositivo.
In October 2014 , following the publication of the authorised biography Vivienne Westwood by the fashion designer and her co - author Ian Kelly , Gorman accused the authors and the publisher Picador of plagiarising substantial sections of material from his book " " . ||| En octubre de 2014, tras la publicación de la biografía autorizada Vivienne Westwood por el diseñador de moda y su co-autor Ian Kelly, Gorman acusó a los autores y el editor Picador de plagiarizar secciones sustanciales de material de su libro ".
Judianna Makovsky ( born August 24 , 1967 ) is an American costume designer , who is perhaps best known for her work on the films " Harry Potter and the Philosopher 's Stone " ( 2001 ) , " Seabiscuit " ( 2003 ) and " The Hunger Games " ( 2012 ) , as well as various films within the Marvel Cinematic Universe . ||| Judianna Makovsky (nacida el 24 de agosto de 1967) es una diseñadora de costumbres estadounidense, que es probablemente mejor conocida por su trabajo en las películas "Harry Potter and the Philosopher's Stone" (2001), "Seabiscuit" (2003) y "The Hunger Games" (2012), así como varias películas dentro del Universo Cinematográfico de Marvel.
One of the former residents of Satoya , however , turns out to be a famous designer who owns a run-down villa on Miyakojima that she offers to let Jun turn into a inn . ||| Uno de los antiguos residentes de Satoya, sin embargo, parece ser un diseñador famoso que posee una villa en Miyakojima que ofrece para que Jun se convierta en una inn.
She became a designer herself at the company during the early 1930s and created a number of patterns on bone china and Queen ’s ware for Wedgwood . ||| Ella se convirtió en una diseñadora en la compañía a principios de la década de 1930 y creó una serie de patrones sobre China ósea y la tienda de la Reina para Wedgwood.
The designer also said she had to make some adaptations to a suit worn by Ormond , as she is a completely different body shape to her character , Vivien Leigh . ||| El diseñador también dijo que tenía que hacer algunas adaptaciones a un vestido llevado por Ormond, ya que es una forma de cuerpo completamente diferente a su personaje, Vivien Leigh.
The American designer Anne Fogarty was particularly noted for her full - skirted designs worn over crinoline petticoats , which were always separate garments from the dress to enable ease of movement and travelling . ||| La diseñadora estadounidense Anne Fogarty fue notablemente por sus diseños llenos de camisetas llevados sobre los petticoates de crinoline, que siempre eran vestidos separados de la ropa para permitir la facilidad de movimiento y viajar.
American urban landscape designer Renée Gunter uses this plant in her South Los Angeles lawn as a drought - resistant alternative to thirstier plants . ||| El diseñador de paisajes urbanos estadounidense Renée Gunter utiliza esta planta en su sal de Los Ángeles del Sur como una alternativa resistente a la sequía a las plantas de sede.
When she returned to Alabama she hired a designer for a hand-operated device to keep a windshield clear and had a local company produce a working model . ||| Cuando regresó a Alabama, contrató a un diseñador para un dispositivo operado por mano para mantener una ventana limpia y tenía una compañía local que produjo un modelo de trabajo.
Shoulder pads originally became popular for women in the 1930s when fashion designer Elsa Schiaparelli included them in her designs of 1931 . ||| Las patas de hombro se convirtieron originalmente en popular entre las mujeres en la década de 1930 cuando el diseñador de moda Elsa Schiaparelli las incluyó en sus diseños de 1931.
Then the designer insists the home owner leave and do not return to their house in 2 days as the designer and her crew prepares to finish renovating their house with a budget under $ 5000 . ||| Entonces el diseñador insiste en que el propietario de la casa se deje y no vuelve a su casa en 2 días, ya que el diseñador y su tripulación se preparan para terminar la renovación de su casa con un presupuesto inferior a $ 5000.
Rachel Hauck is a scenic designer based in New York City who is known for her work in Anaïs Mitchell 's musical " Hadestown " on and off - Broadway and in London , John Leguizamo 's " Latin History for Morons " on and off - Broadway , and her extensive off - Broadway work . ||| Rachel Hauck es una diseñadora escénica con sede en Nueva York que es conocida por su trabajo en Anaïs Mitchell's musical "Hadestown" en y fuera - Broadway y en Londres, John Leguizamo's "Latin History for Morons" en y fuera - Broadway, y su extenso trabajo fuera - Broadway.
Costume designer Karyn Wagner spoke of her role within " The Possibilities " , more so her involvement in the van sequence with Cassidy , Fiore and DeBlanc , wherein Wagner stated , " For a stunt like this , you have to consider what you can get 8 to 12 of , because you nee multiple takes for principal actors . ||| El diseñador de trajes Karyn Wagner habló de su papel dentro de " Las posibilidades ", más así su participación en la secuencia de van con Cassidy, Fiore y DeBlanc, en el que Wagner afirmó, " Para un estanto como este, usted tiene que considerar lo que puede obtener 8 a 12 de, porque usted no multiplica toma para los actores principales.
In her collection " Ariege " , fashion designer Marcela Calvet named one of her most sought - after handbags " Corinne " , in her honor . ||| En su colección " Ariege ", la diseñadora de moda Marcela Calvet nombró uno de sus más buscados - después de las bolsas " Corinne ", en su honor.
In 2003 , the designer launched her Dolly Girl fragrance together with several limited edition sets in the Dolly Girl series . ||| En 2003, la diseñadora lanzó su perfume Dolly Girl junto con varios set de edición limitada en la serie Dolly Girl.
British designer Gina Franklyn sold British fashions out of her shop 99 , located at 99 MacDougal Street in New York 's Greenwich Village . ||| La diseñadora británica Gina Franklyn vendió moda británica de su tienda 99, ubicada en 99 MacDougal Street en el Greenwich Village de Nueva York.
She was the eldest daughter of the merchant Herman Kohany ( 1882–1942 ) who perished in the Holocaust under unknown circumstances , and Paulina Kohany , née Raaber ( 1882–1942 ) , a porcelain designer in her youth , who was killed along with her younger daughter Hilde Kohany ( 1920–1942 ) in Treblinka . ||| Ella fue la hija más antigua del comerciante Herman Kohany ( 1882–1942 ) que murió en el Holocausto bajo circunstancias desconocidas, y Paulina Kohany, née Raaber ( 1882–1942 ), un diseñador de porcelana en su juventud, que fue asesinado junto con su hija menor Hilde Kohany ( 1920–1942 ) en Treblinka.
Bobbie 's father was theologian Morris S. Seale , her sister was Thea Porter the fashion designer and her brother was writer and journalist Patrick Seale . ||| El padre de Bobbie era el teólogo Morris S. Seale, su hermana era Thea Porter el diseñador de moda y su hermano era el escritor y periodista Patrick Seale.
The biological mother of Mia who was often portrayed as faceless character who lived in New York as fashion designer having her face always covered by a sculpture , in the 1st half of the show . ||| La madre biológica de Mia, que a menudo se retrata como un personaje sin rostro que vivió en Nueva York como un diseñador de moda con su rostro siempre cubierto por una escultura, en la primera mitad del espectáculo.
Two days later the project was revealed to be a hoax perpetrated by Funny Or Die , after the video 's costume designer posted the experience on her online resume . ||| Dos días después, el proyecto fue revelado como un hoax perpetrado por Funny Or Die, después de que el diseñador de costumbre del video publicó la experiencia en su resumen en línea.
designer Dhafali Devi won the award for her rug under the Discipline category . ||| diseñador Dhafali Devi ganó el premio por su rango bajo la categoría Disciplina.
The Sui by Anna Sui line and her jeans line continued under operation after the designer left her designer job at Gilmar 's Cento X Cento . ||| El Sui de la línea Anna Sui y su línea de jeans continuó en operación después de que el diseñador dejó su trabajo en el Cento X Cento de Gilmar.
As costume designer Rita Riggs described in her 2001 Archive of American Television interview , Lear 's idea was to create the feeling of sepia tones , in an attempt to make viewers feel as if they were looking at an old family album . ||| Como el diseñador de costumbre Rita Riggs describió en su 2001 Archive of American Television entrevista, la idea de Lear era crear el sentimiento de tonos sepia, en un intento de hacer que los espectadores se sientan como si estuvieran mirando un viejo álbum familiar.
After her mother 's death , New York City fashion designer Lisa Rayborn ( Natasha Henstridge ) returns to her hometown and family farm . ||| Después de la muerte de su madre, la diseñadora de moda de Nueva York Lisa Rayborn (Natasha Henstridge) vuelve a su ciudad natal y la granja familiar.
Rita Ryack is a costume designer who was nominated for an Academy Award for Best Costume Design at the 73rd Academy Awards for her work in " How the Grinch Stole Christmas " . ||| Rita Ryack es una diseñadora de costumbres que fue nominada para un Premio de la Academia para el Mejor Diseño de Costumbres en el 73.o Premio de la Academia por su trabajo en "Cómo el Grinch roba Navidad ".
It is important that in order to be an industrial design the product has to be produced in an industrial way , for example an artisan ca not be considered an industrial designer although she may challenge the same aspects of a product . ||| Es importante que para ser un diseño industrial el producto debe ser producido de una manera industrial, por ejemplo, un artesano no se considere un diseñador industrial aunque puede desafiar los mismos aspectos de un producto.
Elizabeth Florence Emanuel ( née Weiner , born 5 July 1953 ) is a British fashion designer who is best known for designing , with her former husband David Emanuel , the wedding dress worn by Diana , Princess of Wales , in 1981 . ||| Elizabeth Florence Emanuel (née Weiner, 5 de julio de 1953) es una diseñadora de moda británica que es mejor conocida por su diseño, con su ex marido David Emanuel, el vestido de bodas llevado por Diana, princesa de Gales, en 1981.
designer Dhafali Devi won the award for her rug . ||| diseñador Dhafali Devi ganó el premio por su rug.
The designer Jill Richards , herself a Hollywood actress of around the same era , favoured it in her collections of the 1970s , attracting a clientele of names such as Nancy Reagan . ||| La diseñadora Jill Richards, ella misma una actriz de Hollywood de alrededor de la misma época, la favorecía en sus colecciones de la década de 1970, atrayendo a un cliente de nombres como Nancy Reagan.
Beulah Elizabeth Hazelrigg Brown ( November 24 , 1892 – March 26 , 1987 ) was a Hoosier painter , educator , and textile designer who is best known for her bold , colorful , abstract patterns for fabrics , as well as figure , genre , landscapes , and floral still - life paintings in watercolor , her preferred media . ||| Beulah Elizabeth Hazelrigg Brown (24 de noviembre de 1892 - 26 de marzo de 1987) fue una pintora Hoosier, educadora y diseñadora de textiles que es mejor conocida por sus modos valientes, coloridos, abstractos para los tejidos, así como figuras, género, paisajes, y florales todavía - pinturas de vida en color de agua, sus medios preferidos.
Chanel chief designer Karl Lagerfeld noted Zhou Xun for her strong fashion sense , describing the actress as " a synthesis of young Coco Chanel and Ballet Troupe Zizi Jeanmaire . " ||| El diseñador principal de Chanel, Karl Lagerfeld, señaló a Zhou Xun por su fuerte sentido de la moda, describiendo a la actriz como "una síntesis de la joven Coco Chanel y Ballet Troupe Zizi Jeanmaire ".
She portrayed fashion designer `` Margo Lynley '' from the serial ' s inception until 1992 when she left to begin a family . ||| Ella retrató a un diseñador de moda "Margo Lynley" desde el inicio de la serie hasta 1992 cuando se fue a iniciar una familia.
Under the label " LalicA " , the designer has produced her clothing line since 2002 . ||| Bajo la etiqueta " LalicA ", la diseñadora ha producido su línea de ropa desde 2002.
He also brought first - time collaborators production designer Barbara Ling based on her work in recreating historical settings in " The Doors " , and costume designer Arianne Phillips , who had a strong client list to her name including Tom Ford , James Mangold and Madonna . ||| También trajo a los primeros colaboradores, la diseñadora de producción Barbara Ling, basada en su trabajo en la recreación de los establecimientos históricos en "The Doors", y la diseñadora de costumbres Arianne Phillips, que tenía una fuerte lista de clientes a su nombre, incluyendo Tom Ford, James Mangold y Madonna.
Pope opted to leave Naughty Dog around 2010 , after " " was released , to move to Saitama , Japan , along with his wife Keiko , a game designer herself . ||| El Papa optó por dejar a Naughty Dog alrededor de 2010, después de que " fue liberado, para trasladarse a Saitama, Japón, junto con su esposa Keiko, un diseñador de juegos.
Production designer Mihaela Poenaru drew on her recollections of the period to prepare the locations . ||| La diseñadora de producción Mihaela Poenaru atrajo sus recolecciones del período para preparar los lugares.
Regarding The Silence of the Lambs mentioned above , I remember a behind-the-scenes documentary on it , and in it the costume designer for the film mentioned that she specifically strove for more ageless clothing for everyone , rather than what would have been characteristic of the early 1990s . ||| En cuanto al silencio de las ovejas mencionado anteriormente, recuerdo un documental detrás de las escenas sobre él, y en él el diseñador de costumbres para la película mencionó que ella especificamente estruve para más ropa para todos, en lugar de lo que habría sido característico de principios de los años 90.
Olga , the main character , wants to be a costumes and set designer and her dreams come true when she works as an assistant for the famous edition of " La Traviata " directed by Luchino Visconti in 1955 . ||| Olga, el personaje principal, quiere ser un diseñador de costumbres y set y sus sueños se realizan cuando trabaja como asistente para la famosa edición de "La Traviata" dirigida por Luchino Visconti en 1955.
This episode introduces the station ' s graphics designer , Mona , as she draws pictures for Nas ' story for the children ' s segment `` Listen With Frank '' . ||| Este episodio introduce al diseñador gráfico de la estación, Mona, mientras ella tira imágenes para la historia de Nas para los niños del segmento "Escucha con Frank".
At the same time , the designer wanted her creations to be equally as interesting on an intellectual level for parents to enjoy also . ||| Al mismo tiempo, el diseñador quería que sus creaciones fueran igualmente interesantes en un nivel intelectual para que los padres también disfrutaran.
Although costume designer Vasuki Baskar wrote on her social media account that the first look of the film would be released on 13 November , during the Diwali festival , it was unveiled on 15 December 2012 at Yuvan Shankar Raja 's concert in Malaysia . ||| Aunque el diseñador de costumbres Vasuki Baskar escribió en su cuenta de redes sociales que la primera mirada de la película se lanzará el 13 de noviembre, durante el festival de Diwali, fue revelada el 15 de diciembre de 2012 en el concierto de Yuvan Shankar Raja en Malasia.
Jenny Hellström ( born 1976 in Hofors , Gästrikland ) is both the name of a Swedish designer and her clothing brand . ||| Jenny Hellström (nacido en 1976 en Hofors, Gästrikland) es el nombre de un diseñador sueco y su marca de ropa.
After World War II the famous designer reestablished herself . ||| Después de la Segunda Guerra Mundial, el famoso diseñador se restableció.
Prominent Lithuanian clothing designer usually organizes his collections presentations in Vilnius . ||| El famoso diseñador de ropa lituano suele organizar presentaciones de sus colecciones en Vilnius.
For example , if one worker designs cars and another builds them , the designer will use his cognitive skills more frequently than the builder . ||| Por ejemplo, si uno de los trabajadores diseña coches y otro los construye, el diseñador utilizará sus habilidades cognitivas más a menudo que el constructor.
In 2017 , it was reported that the designer of Comic Sans had only used his typeface once . ||| En 2017, se informó de que el diseñador de Comic Sans sólo usó su cara una vez.
Nilssen maintains that the ovens were designed by Torsten Hoff , a renowned designer of ovens , who established himself as a sculptor in Christiania in 1711 , working there until his 1754 death . ||| Nilssen sostiene que las ovejas fueron diseñadas por Torsten Hoff, un renombrado diseñador de ovejas, que se estableció como escultor en Christiania en 1711, trabajando allí hasta su muerte en 1754.
There is a chance that additional information could impede the reusability of the service as the service consumer designer may streamline his design based on this knowledge . ||| Hay una posibilidad de que la información adicional pueda impedir la reutilización del servicio ya que el diseñador de servicio puede simplificar su diseño basado en este conocimiento.
Elwood Engel , famous for being lead designer of the 1961 Lincoln Continental and for his work as chief designer at Chrysler in the 1960s , was Staff Stylist ( and consequently roamed all of the design studios ) at Ford during this period and worked very closely with John Najjar in developing not only the 1958 , but also the 1959 update . ||| Elwood Engel, famoso por ser el diseñador principal de la 1961 Lincoln Continental y por su trabajo como diseñador principal en Chrysler en los años 1960, fue Staff Stylist (y por lo tanto visitó todos los estudios de diseño) en Ford durante este período y trabajó muy cerca con John Najjar en el desarrollo no sólo de 1958, sino también de la actualización de 1959.
A successful and well known designer and craftsman in hand wrought silver jewelry by vocation , Joe 's greatest creative drive went into his work in sculpture . ||| Un diseñador exitoso y bien conocido y artesano en la mano derramó joyas de plata por vocación, el mayor impulso creativo de Joe entró en su trabajo en la escultura.
He , probably more than any designer knew his customer and understood her . " ||| Él, probablemente más que cualquier diseñador, conoció a su cliente y la comprendió. "
O. S. Nock describes it as ‘ the most disappointing and tactless act in his short and stormy career as CME , ’ and Allen stated ‘ he turned it into a machine of such hideous appearance as might well have made its designer turn in his grave . ||| O. S. Nock lo describe como “el acto más decepcionante y intacto en su corta y tormentosa carrera como CME”, y Allen afirmó que “lo convirtió en una máquina de tal apariencia misteriosa como podría haber hecho que su diseñador se vuelva en su tumba”.
In October 1998 , Hyundai complained to the BBC about what they described as " bigoted and racist " comments he made at the Birmingham Motor Show , where he was reported as saying that the people working on the Hyundai stand had " eaten a dog " and that the designer of the Hyundai XG had probably eaten a spaniel for his lunch . ||| En octubre de 1998, Hyundai se quejó a la BBC sobre lo que describieron como "bigotado y racista" comentarios que hizo en el Birmingham Motor Show, donde se informó de que la gente que trabajaba en el stand de Hyundai había "comido un perro" y que el diseñador de la Hyundai XG probablemente había comido un español para su almuerzo.
In his " New York Times " review , Frank Rich wrote : " In his brilliant lighting ... the designer Dennis Parichy has captured the entire spectrum of weather known to habitues of New England beaches in August . ||| En su revisión de "New York Times", Frank Rich escribió: "En su brillante iluminación... el diseñador Dennis Parichy ha capturado todo el espectro del tiempo conocido a los habituados de las playas de Nueva Inglaterra en agosto.
Pfitzner , a “ designer of high - class gasoline motors , transmissions , and gears ” was employed by Glen Curtiss at his Hammondsport factory . ||| Pfitzner, un “designer de motores de gasolina de alta clase, transmisiones y geares”, fue empleado por Glen Curtiss en su fábrica Hammondsport.
The designers were able to create a room for Italy , Mexico or Thailand , with one paint can being empty , which let that one designer choose whatever country he wanted . ||| Los diseñadores fueron capaces de crear una habitación para Italia, México o Tailandia, con una pintura puede ser vacía, lo que permite a un diseñador elegir cualquier país que quiera.
In the former case , device drivers may be required which the system designer may or may not be able to rely on if he has no control over the client device -LRB- as in the case of authentication to a public website -RRB- . ||| En el caso anterior, los conductores de dispositivos pueden ser requeridos a los que el diseñador del sistema puede o puede no ser capaz de confiar si no tiene control sobre el dispositivo cliente -LRB- como en el caso de autenticación a un sitio web público -RRB-.
1520–1601 ) was a Franc - comtois sculptor , trained as a " menuisier " or wood - worker ; as a designer of Mannerist ornaments , his published designs , such as " Oevvre de la diversite des termes , do nt on use en architecture , reduicts en ordres " , Lyon , 1572 , inspired luxury furnishings , such as dressoires , armoires and cabinets . ||| 1520-1601 ) fue un escultor franco-comtois, entrenado como un " menuisier" o trabajador de madera; como un diseñador de ornamentos Manneristas, sus diseños publicados, como " Oevvre de la diversite des termes, do nt on use en architecture, reduicts en ordres ", Lyon, 1572, inspirado en mobiliario de lujo, como dressoires, armarios y cabinetes.
From the leftovers of the furniture production the young designer started to create leather bags and accessoires since he did not want to waste any material and started to sell them along with his furniture collection at trade fairs . ||| Desde las costas de la producción de muebles, el joven diseñador comenzó a crear bolsas de piel y accesorios ya que no quería desperdiciar ningún material y comenzó a venderlos junto con su colección de muebles en las fiestas comerciales.
D'Or is married to Pazit , formerly a jewelry designer and now his manager . ||| D'Or está casado con Pazit, antiguamente un diseñador de joyas y ahora su gerente.
Trinidadian designer Peter Minshall is renowned not only for his Carnival costumes but also for his role in opening ceremonies of the Barcelona Olympics , the 1994 FIFA World Cup , the 1996 Summer Olympics , and the 2002 Winter Olympics , for which he won an Emmy Award . ||| El diseñador de Trinidad Peter Minshall es conocido no sólo por sus trajes de Carnaval, sino también por su papel en las ceremonias de apertura de los Juegos Olímpicos de Barcelona, la Copa Mundial de la FIFA de 1994, los Juegos Olímpicos de verano de 1996 y los Juegos Olímpicos de Invierno de 2002, por los que ganó un premio Emmy.
Alice and Ginevra show a perfect mastery of the runway in their respective performances and the designer points them as his own favorites . ||| Alice y Ginevra muestran un maestro perfecto de la pista en sus respectivas actuaciones y el diseñador los indica como sus propios favoritos.
Designer Gutzon Borglum constantly praised Luigi for his great abilities as a classically trained stone carver : " He is worth any three men in America for this particular type of work . " ||| El diseñador Gutzon Borglum constantemente elogió a Luigi por sus grandes habilidades como un carver de piedra clásicamente entrenado: "Es digno de tres hombres en América para este tipo particular de trabajo. "
When the hydro bus disintegrated on landing , the chief designer and his assistant were strapped into the G-45 for a test drop ; they survived , but the project was cancelled . ||| Cuando el autobús se desintegró en el aterrizaje, el diseñador principal y su asistente fueron grabados en el G-45 para una caída de prueba; sobrevivieron, pero el proyecto fue cancelado.
Fashion designer Paul Poiret commented in his autobiography " King of Fashion " , " I shall always see Mounet - Sully in " Oedipus Rex " , blind , coming down the steps of the temple , and saying in a suave voice : ' Children of ancient Cadmus , young successors . . . ' ||| El diseñador de moda Paul Poiret comentó en su autobiografía "El Rey de la Moda", "Siempre veré a Mounet - Sully en "Oedipus Rex", ciego, descendiendo los pasos del templo, y diciendo con una voz suave: 'Hijos del antiguo Cadmus, jóvenes sucesores...'
He appeared on the cover of MIDWEEK and at 23 was called `` AMERICA ' S HOTTEST DESIGNER '' that fall he was the winner of the VH1 Reality Show called `` Glam GOD '' hosted by Vivica A . ||| Apareció en la cubierta de MIDWEEK y a los 23 fue llamado `` AMERICA'S HOTTEST DESIGNER '' ese otoño fue el ganador del VH1 Reality Show llamado `` Glam GOD '' alojado por Vivica A.
Benjamin George Bowden ( 3 June 1906 – 6 March 1998 ) was a British industrial designer , who is known mostly for his work on automobiles and bicycles . ||| Benjamin George Bowden (3 de junio de 1906 – 6 de marzo de 1998) fue un diseñador industrial británico, que es conocido principalmente por su trabajo en automóviles y bicicletas.
The Soviets also captured schematics for the gun and the designer himself . ||| Los soviets también capturaron los esquemas para la pistola y el propio diseñador.
The former chief designer of Audi Hartmut Warkuss saw his talent and potential immediately and offered him a scholarship for the Royal College of Art in London , the international elite college in design . ||| El ex diseñador principal de Audi Hartmut Warkuss vio su talento y potencial de inmediato y le ofreció una beca para el Royal College of Art en Londres, la universidad de élite internacional en diseño.
In Italy , the designer Gio Ponti was famous for his streamlined designs . ||| En Italia, el diseñador Gio Ponti fue famoso por sus diseños estrictos.
Tom Tjaarda ( July 23 , 1934 – June 2 , 2017 ) was an automobile designer noted for his work on a broad range of automobiles — estimated at over eighty — from exotic sports cars including the Ferrari 365 California , De Tomaso Pantera and Aston Martin Lagonda Coupé to high - volume popular cars including the first generation Ford Fiesta ( 1972 ) and the Fiat 124 Spider ( 1966 ) . ||| Tom Tjaarda (23 de julio de 1934 - 2 de junio de 2017) fue un diseñador de automóvil notado por su trabajo en una amplia gama de automóviles - estimados en más de ochenta - desde los automóviles deportivos exóticos incluyendo Ferrari 365 California, De Tomaso Pantera y Aston Martin Lagonda Coupé hasta los automóviles populares de alto volumen incluyendo la primera generación Ford Fiesta ( 1972 ) y el Fiat 124 Spider ( 1966 ).
The designer of the structure is unknown , however , it was possibly Jensen himself , or his friend , prairie school architect Hugh Garden . ||| El diseñador de la estructura es desconocido, sin embargo, posiblemente fue Jensen mismo, o su amigo, el arquitecto de la escuela de prairie Hugh Garden.
Aside from music , Shelby is a UX Designer / Graphic Designer / Painter and his work spans from album layouts ( most notably Ire Works by The Dillinger Escape Plan ) , logos and interface designs . ||| Además de la música, Shelby es un diseñador UX / diseñador gráfico / pintor y su trabajo se extiende de los diseños de álbumes (más notablemente Ire Works por The Dillinger Escape Plan), logos y diseños de interfaz.
There were two dirt track race cars called " Jimmy " and " Jimmy , Jr. " after the chief designer and his son . ||| Había dos coches de carrera de pista sucia llamados "Jimmy" y "Jimmy, Jr." después del diseñador principal y su hijo.
The rifle 's designer , Mikhail Kalashnikov lived in Izhevsk until his death in 2013 . ||| El diseñador de la pistola, Mikhail Kalashnikov vivió en Izhevsk hasta su muerte en 2013.
He trained from 1701 to 1702 with the Brussels tapestry designer Lodewijk van Schoor who had established himself in Antwerp in 1696 . ||| Se formó de 1701 a 1702 con el diseñador de tapas de Bruselas Lodewijk van Schoor que se había establecido en Antwerp en 1696.
In 2014 , American firearms designer Jim Sullivan provided a video interview regarding his contributions to the M16 / M4 family of rifles when working for Armalite . ||| En 2014, el diseñador de armas de fuego estadounidense Jim Sullivan proporcionó una entrevista de vídeo sobre sus contribuciones a la familia de armas M16 / M4 cuando trabajaba para Armalite.
Lithgow was chief draughtsman - designer and his work was crucial to their strategy of standardising hull shapes and components , thus increasing efficiency and profitability . ||| Lithgow fue el diseñador principal y su trabajo fue crucial para su estrategia de normalización de las formas y componentes de los hallazgos, aumentando así la eficiencia y la rentabilidad.
His father was a movie theatre projector designer and his grandfather made parts for phonograph machines . ||| Su padre era un diseñador de proyectores de cine y su abuelo hizo piezas para máquinas de fonografía.
Mayén was an industrial designer , and following his graduation from Columbia , taught classes in advertising design at his alma mater , Cooper Union , and The New School , both in Manhattan . ||| Mayén fue un diseñador industrial, y después de su graduación de Columbia, enseñó clases en diseño publicitario en su alma mater, Cooper Union y The New School, ambos en Manhattan.
The designer saw his original clothing at the National Museum of Costume . ||| El diseñador vio su ropa original en el Museo Nacional de Costumes.
Indeed , models basically play the same role in economics as in fashion : they provide an articulated frame on which to show off your material to advantage ... ; a useful role , but fraught with the dangers that the designer may get carried away by his personal inclination for the model , while the customers may forget that the model is more streamlined than reality . ||| De hecho, los modelos basicamente desempeñan el mismo papel en la economía como en la moda: proporcionan un marco articulado en el que mostrar su material a beneficio...; un papel útil, pero fracturado con los peligros que el diseñador puede ser llevado por su inclinación personal para el modelo, mientras que los clientes pueden olvidar que el modelo es más estrechado que la realidad.
