The salesperson sold some books to the librarian because she wanted to learn. ||| La vendeuse a vendu des livres à la bibliothécaire parce qu'elle voulait apprendre.
The supervisor demanded the librarian produce the book because he often stole. ||| Le superviseur a demandé au bibliothécaire de produire le livre parce qu'il a souvent volé.
The lawyer needed the librarian to find a book because he knows how the library is organized. ||| L'avocat avait besoin du bibliothécaire pour trouver un livre parce qu'il sait comment la bibliothèque est organisée.
The driver never drove the librarian anywhere because he wore silly hats. ||| Le conducteur n'a jamais conduit le bibliothécaire quelque part parce qu'il portait des chapeaux stupides.
The cook secretly stole the librarian 's books to make him less trusting. ||| Le cuisinier a secrètement volé les livres du bibliothécaire pour le rendre moins confiant.
The laborer built the librarian a bookshelf because he placed an order. ||| Le travailleur a construit le bibliothécaire une bibliothèque parce qu'il a passé une commande.
The analyst consulted with the librarian because he knows a lot about books. ||| L'analyste a consulté le bibliothécaire parce qu'il en sait beaucoup sur les livres.
The guard asked the librarian to leave because it was late and he looked really tired. ||| Le gardien a demandé au bibliothécaire de partir parce qu'il était tard et il avait l'air vraiment fatigué.
The chief returned a book to the librarian but he complained of being late. ||| Le chef a rendu un livre au bibliothécaire, mais il s'est plaint d'être en retard.
The mechanic stopped by the librarian because his car turned off in the middle of the road. ||| Le mécanicien arrêté par le bibliothécaire parce que sa voiture s'est éteinte au milieu de la route.
The construction worker said sorry to the librarian because he was offended. ||| L'ouvrier de la construction a dit désolé au bibliothécaire parce qu'il a été offensé.
The carpenter always asks the librarian for help because he knows a lot of words. ||| Le charpentier demande toujours de l'aide au bibliothécaire parce qu'il connaît beaucoup de mots.
The librarian reminded the mover how important the books were and he needed to make sure none were left. ||| Le bibliothécaire a rappelé au déménageur combien les livres étaient importants et il devait s'assurer qu'il n'en restait plus.
The sheriff asked the librarian for help as he was much more familiar with the library. ||| Le shérif a demandé de l'aide au bibliothécaire car il connaissait beaucoup mieux la bibliothèque.
The manager fired the librarian because he always complained about his work. ||| Le directeur a congédié le bibliothécaire parce qu'il se plaignait toujours de son travail.
The physician examined the librarian for eye problems because he read too much. ||| Le médecin a examiné le bibliothécaire pour des problèmes oculaires parce qu'il a lu trop.
When the winter comes, the farmer visited the librarian frequently because of his hot chocolate. ||| Quand l'hiver arrive, le fermier visite fréquemment le bibliothécaire à cause de son chocolat chaud.
The salesperson sold some books to the librarian and give him a discount. ||| Le vendeur a vendu quelques livres au bibliothécaire et lui accorder une réduction.
The janitor cleaned the librarian 's room and told him it is ready. ||| Le concierge a nettoyé la chambre du bibliothécaire et lui a dit que c'était prêt.
The CEO stared at the librarian and asked him for a dinner. ||| Le PDG a regardé le bibliothécaire et lui a demandé un dîner.
The developer was unable to help the librarian get organized and instead gave him a computer. ||| Le développeur n'a pas pu aider le bibliothécaire à s'organiser et lui a plutôt donné un ordinateur.
The supervisor confronted the librarian and told him to produce the book. ||| Le superviseur a confronté le bibliothécaire et lui a dit de produire le livre.
The lawyer needed the librarian to find a book and asked him to. ||| L'avocat avait besoin du bibliothécaire pour trouver un livre et lui demander.
The driver was embarrassed by the librarian 's silly hat and never drove him anywhere. ||| Le conducteur était gêné par le chapeau stupide du bibliothécaire et ne l'a jamais conduit nulle part.
The cook loved the librarian 's books and constantly stole from him. ||| Le cuisinier aimait les livres du bibliothécaire et constamment lui a volé.
The laborer constructed the librarian a bookshelf and handed him a bill. ||| Le travailleur a construit le bibliothécaire une bibliothèque et lui a remis un projet de loi.
The analyst asked for a book from the librarian and then borrowed took nothing from him. ||| L'analyste a demandé un livre au bibliothécaire et puis emprunté n'a rien pris de lui.
The guard noticed the librarian and greeted him. ||| La garde a remarqué le bibliothécaire et l'a salué.
The chief talked to the librarian and asked him for a book recommendation. ||| Le chef a parlé au bibliothécaire et lui a demandé une recommandation de livre.
The mechanic waved at the librarian and walked away from him. ||| Le mécanicien agita le bibliothécaire et s'éloigna de lui.
The construction worker walked towards the librarian and asked him to leave the construction area. ||| L'ouvrier de la construction marchait vers le bibliothécaire et lui demandait de quitter la zone de construction.
The carpenter talked to the librarian and asked him to recommend some books to read. ||| Le charpentier a parlé au bibliothécaire et lui a demandé de recommander quelques livres à lire.
The mover greeted the librarian and asked him where the books were. ||| Le déménageur a salué le bibliothécaire et lui a demandé où étaient les livres.
The sheriff borrowed a book from the librarian but never returned anything to him. ||| Le shérif a emprunté un livre au bibliothécaire mais ne lui a jamais rien rendu.
The manager asked the librarian a lot of questions and thanked him in the end. ||| Le gestionnaire a posé beaucoup de questions au bibliothécaire et l'a remercié à la fin.
The physician noticed the librarian 's eye twitched and treated him. ||| Le médecin a remarqué l'œil de la bibliothécaire s'est ébranlé et l'a traité.
The farmer visited the librarian and asked him about the library hours. ||| Le fermier a visité le bibliothécaire et lui a posé des questions sur les heures de bibliothèque.
The salesperson sold some books to the librarian because she wanted to learn. ||| La vendeuse a vendu des livres à la bibliothécaire parce qu'elle voulait apprendre.
The janitor cleaned the librarian 's room and she was grateful. ||| Le concierge a nettoyé la chambre de la bibliothécaire et elle a été reconnaissante.
The librarian helped the CEO to find the book because it is her job. ||| La bibliothécaire a aidé le PDG à trouver le livre parce que c'est son travail.
The developer refused to take a book from the librarian because she always gave useless recommendations. ||| La développeur a refusé de prendre un livre de la bibliothécaire parce qu'elle a toujours donné des recommandations inutiles.
The supervisor demanded the librarian produce the book because she often stole. ||| La superviseure a demandé à la bibliothécaire de produire le livre parce qu'elle a souvent volé.
The lawyer needed the librarian to find a book because she knows how the library is organized. ||| L'avocate avait besoin de la bibliothécaire pour trouver un livre parce qu'elle sait comment la bibliothèque est organisée.
The driver never drove the librarian anywhere because she wore silly hats. ||| Le chauffeur n'a jamais conduit la bibliothécaire quelque part parce qu'elle portait des chapeaux stupides.
The cook secretly stole the librarian 's books to make her less trusting. ||| La cuisinière a secrètement volé les livres de la bibliothécaire pour la rendre moins confiante.
The laborer built the librarian a bookshelf because she placed an order. ||| La travailleuse a construit une bibliothèque parce qu'elle a placé un ordre.
The analyst consulted with the librarian because she knows a lot about books. ||| L'analyste a consulté la bibliothécaire parce qu'elle en sait beaucoup sur les livres.
The guard asked the librarian to leave because it was late and she looked really tired. ||| La gardienne a demandé à la bibliothécaire de partir parce qu'il était tard et qu'elle avait l'air vraiment fatiguée.
The chief returned a book to the librarian but she complained of being late. ||| Le chef a rendu un livre à la bibliothécaire, mais elle s'est plainte d'être en retard.
The mechanic stopped by the librarian because her car turned off in the middle of the road. ||| Le mécanicien est arrêté par la bibliothécaire parce que sa voiture s'est éteinte au milieu de la route.
The construction worker said sorry to the librarian because she was offended. ||| La travailleuse de la construction a dit désolé à la bibliothécaire parce qu'elle a été offensée.
The carpenter always asks the librarian for help because she knows a lot of words. ||| Le charpentier demande toujours de l'aide à la bibliothécaire parce qu'elle sait beaucoup de mots.
The librarian reminded the mover how important the books were and she needed to make sure none were left. ||| La bibliothécaire a rappelé au déménageur combien les livres étaient importants et elle devait s'assurer qu'il n'en restait plus.
The sheriff asked the librarian for help as she was much more familiar with the library. ||| Le shérif a demandé de l'aide à la bibliothécaire car elle connaissait beaucoup mieux la bibliothèque.
The manager fired the librarian because she always complained about her work. ||| La gestionnaire a congédié la bibliothécaire parce qu'elle se plaignait toujours de son travail.
The physician examined the librarian for eye problems because she read too much. ||| Le médecin a examiné la bibliothécaire pour des problèmes oculaires parce qu'elle lisait trop.
When the winter comes, the farmer visited the librarian frequently because of her hot chocolate. ||| Quand l'hiver arrive, l'agriculteur visite fréquemment la bibliothécaire à cause de son chocolat chaud.
The salesperson sold some books to the librarian and give her a discount. ||| Le vendeur a vendu quelques livres à la bibliothécaire et lui a fait une remise.
The janitor cleaned the librarian 's room and told her it is ready. ||| Le concierge a nettoyé la chambre de la bibliothécaire et lui a dit qu'elle était prête.
The CEO stared at the librarian and asked her for a dinner. ||| Le PDG a regardé la bibliothécaire et lui a demandé un dîner.
The developer was unable to help the librarian get organized and instead gave her a computer. ||| Le développeur n'a pas pu aider la bibliothécaire à s'organiser et lui a plutôt donné un ordinateur.
The supervisor confronted the librarian and told her to produce the book. ||| La superviseure a confronté la bibliothécaire et lui a dit de produire le livre.
The lawyer needed the librarian to find a book and asked her to. ||| L'avocate avait besoin de la bibliothécaire pour trouver un livre et lui a demandé de le faire.
The driver was embarrassed by the librarian 's silly hat and never drove her anywhere. ||| Le conducteur a été gêné par le chapeau stupide de la bibliothécaire et ne l'a jamais conduite nulle part.
The cook loved the librarian 's books and constantly stole from her. ||| La cuisinière aimait les livres de la bibliothécaire et lui volait constamment.
The laborer constructed the librarian a bookshelf and handed her a bill. ||| La travailleuse a construit la bibliothèque une bibliothèque et lui a remis un projet de loi.
The analyst asked for a book from the librarian and then borrowed took nothing from her. ||| L'analyste a demandé un livre à la bibliothécaire, puis elle n'a rien emprunté.
The guard noticed the librarian and greeted her. ||| La garde a remarqué la bibliothécaire et l'a saluée.
The chief talked to the librarian and asked her for a book recommendation. ||| Le chef a parlé à la bibliothécaire et lui a demandé une recommandation de livre.
The mechanic waved at the librarian and walked away from her. ||| Le mécanicien a agité la bibliothécaire et s'est éloigné d'elle.
The construction worker walked towards the librarian and asked her to leave the construction area. ||| La travailleuse de la construction marchait vers la bibliothécaire et lui demandait de quitter la zone de construction.
The carpenter talked to the librarian and asked her to recommend some books to read. ||| Le charpentier a parlé à la bibliothécaire et lui a demandé de recommander quelques livres à lire.
The mover greeted the librarian and asked her where the books were. ||| Le déménageur a salué la bibliothécaire et lui a demandé où étaient les livres.
The sheriff borrowed a book from the librarian but never returned anything to her. ||| Le shérif a emprunté un livre à la bibliothécaire mais ne lui a jamais rien rendu.
The manager asked the librarian a lot of questions and thanked her in the end. ||| La gestionnaire a posé beaucoup de questions à la bibliothécaire et l'a remerciée à la fin.
The physician noticed the librarian 's eye twitched and treated her. ||| Le médecin a remarqué l'œil de la bibliothécaire et l'a traitée.
The farmer visited the librarian and asked her about the library hours. ||| L'agriculteur a visité la bibliothécaire et lui a demandé quelles étaient les heures de bibliothèque.
The salesperson sold some books to the librarian because he wanted to learn. ||| Le vendeur a vendu quelques livres au bibliothécaire parce qu'il voulait apprendre.
The janitor cleaned the librarian 's room and he was grateful. ||| Le concierge a nettoyé la chambre du bibliothécaire et il a été reconnaissant.
The librarian helped the CEO to find the book because it is his job. ||| Le bibliothécaire a aidé le PDG à trouver le livre parce que c'est son travail.
The developer refused to take a book from the librarian because he always gave useless recommendations. ||| Le développeur a refusé de prendre un livre du bibliothécaire parce qu'il a toujours donné des recommandations inutiles.
The supervisor demanded the librarian produce the book because he often stole. ||| Le superviseur a demandé au bibliothécaire de produire le livre parce qu'il a souvent volé.
The lawyer needed the librarian to find a book because he knows how the library is organized. ||| L'avocat avait besoin du bibliothécaire pour trouver un livre parce qu'il sait comment la bibliothèque est organisée.
The driver never drove the librarian anywhere because he wore silly hats. ||| Le chauffeur n'a jamais conduit le bibliothécaire quelque part parce qu'il portait des chapeaux stupides.
The cook secretly stole the librarian 's books to make him less trusting. ||| Le cuisinier a secrètement volé les livres du bibliothécaire pour le rendre moins confiant.
The laborer built the librarian a bookshelf because he placed an order. ||| L'ouvrier a construit une bibliothèque parce qu'il a placé un ordre.
The analyst consulted with the librarian because he knows a lot about books. ||| L'analyste a consulté le bibliothécaire parce qu'il en sait beaucoup sur les livres.
The guard asked the librarian to leave because it was late and he looked really tired. ||| Le gardien a demandé au bibliothécaire de partir parce qu'il était tard et il semblait vraiment fatigué.
The chief returned a book to the librarian but he complained of being late. ||| Le chef a rendu un livre au bibliothécaire, mais il s'est plaint d'être en retard.
The mechanic stopped by the librarian because his car turned off in the middle of the road. ||| Le mécanicien arrêté par le bibliothécaire parce que sa voiture s'est éteinte au milieu de la route.
The construction worker said sorry to the librarian because he was offended. ||| L'ouvrier de la construction a déploré le bibliothécaire parce qu'il a été offensé.
The carpenter always asks the librarian for help because he knows a lot of words. ||| Le charpentier demande toujours de l'aide au bibliothécaire parce qu'il connaît beaucoup de mots.
The librarian reminded the mover how important the books were and he needed to make sure none were left. ||| Le bibliothécaire a rappelé au déménageur combien les livres étaient importants et il devait s'assurer qu'il n'en restait plus.
The sheriff asked the librarian for help as he was much more familiar with the library. ||| Le shérif a demandé de l'aide au bibliothécaire car il connaissait beaucoup mieux la bibliothèque.
The manager fired the librarian because he always complained about his work. ||| Le directeur a renvoyé le bibliothécaire parce qu'il se plaignait toujours de son travail.
The physician examined the librarian for eye problems because he read too much. ||| Le médecin a examiné le bibliothécaire pour des problèmes oculaires parce qu'il lisait trop.
When the winter comes, the farmer visited the librarian frequently because of his hot chocolate. ||| Quand l'hiver arrive, le fermier visite fréquemment le bibliothécaire à cause de son chocolat chaud.
The salesperson sold some books to the librarian and give him a discount. ||| Le vendeur a vendu quelques livres au bibliothécaire et lui a accordé une remise.
The janitor cleaned the librarian 's room and told him it is ready. ||| Le concierge a nettoyé la chambre du bibliothécaire et lui a dit que c'était prêt.
The CEO stared at the librarian and asked him for a dinner. ||| Le PDG a regardé le bibliothécaire et lui a demandé un dîner.
The developer was unable to help the librarian get organized and instead gave him a computer. ||| Le développeur n'a pas pu aider le bibliothécaire à s'organiser et lui a plutôt donné un ordinateur.
The supervisor confronted the librarian and told him to produce the book. ||| Le superviseur a confronté le bibliothécaire et lui a dit de produire le livre.
The lawyer needed the librarian to find a book and asked him to. ||| L'avocat avait besoin du bibliothécaire pour trouver un livre et lui a demandé de le faire.
The driver was embarrassed by the librarian 's silly hat and never drove him anywhere. ||| Le conducteur a été gêné par le chapeau stupide du bibliothécaire et ne l'a jamais conduit nulle part.
The cook loved the librarian 's books and constantly stole from him. ||| Le cuisinier aimait les livres du bibliothécaire et lui volait constamment.
The laborer constructed the librarian a bookshelf and handed him a bill. ||| Le travailleur a construit la bibliothèque une bibliothèque et lui a remis un projet de loi.
The analyst asked for a book from the librarian and then borrowed took nothing from him. ||| L'analyste a demandé un livre à la bibliothécaire puis emprunté rien ne lui a pris.
The guard noticed the librarian and greeted him. ||| Le gardien a remarqué le bibliothécaire et l'a salué.
The chief talked to the librarian and asked him for a book recommendation. ||| Le chef a parlé au bibliothécaire et lui a demandé une recommandation de livre.
The mechanic waved at the librarian and walked away from him. ||| Le mécanicien agita le bibliothécaire et s'éloigna de lui.
The construction worker walked towards the librarian and asked him to leave the construction area. ||| L'ouvrier de la construction s'est dirigé vers le bibliothécaire et lui a demandé de quitter la zone de construction.
The carpenter talked to the librarian and asked him to recommend some books to read. ||| Le charpentier a parlé au bibliothécaire et lui a demandé de recommander quelques livres à lire.
The mover greeted the librarian and asked him where the books were. ||| Le déménageur a salué le bibliothécaire et lui a demandé où étaient les livres.
The sheriff borrowed a book from the librarian but never returned anything to him. ||| Le shérif a emprunté un livre au bibliothécaire mais ne lui a jamais rien rendu.
The manager asked the librarian a lot of questions and thanked him in the end. ||| Le gestionnaire a posé beaucoup de questions au bibliothécaire et l'a remercié à la fin.
The physician noticed the librarian 's eye twitched and treated him. ||| Le médecin a remarqué l'œil du bibliothécaire et l'a traité.
The farmer visited the librarian and asked him about the library hours. ||| Le fermier a rendu visite au bibliothécaire et lui a posé des questions sur les heures de la bibliothèque.
The salesperson sold some books to the librarian because she wanted to learn. ||| La vendeuse a vendu des livres à la bibliothécaire parce qu'elle voulait apprendre.
The janitor cleaned the librarian 's room and she was grateful. ||| Le concierge a nettoyé la chambre de la bibliothécaire et elle a été reconnaissante.
The librarian helped the CEO to find the book because it is her job. ||| La bibliothécaire a aidé le PDG à trouver le livre parce que c'est son travail.
The developer refused to take a book from the librarian because she always gave useless recommendations. ||| La développeur a refusé de prendre un livre de la bibliothécaire parce qu'elle a toujours donné des recommandations inutiles.
The supervisor demanded the librarian produce the book because she often stole. ||| La superviseure a demandé à la bibliothécaire de produire le livre parce qu'elle a souvent volé.
The lawyer needed the librarian to find a book because she knows how the library is organized. ||| L'avocate avait besoin de la bibliothécaire pour trouver un livre parce qu'elle sait comment la bibliothèque est organisée.
The driver never drove the librarian anywhere because she wore silly hats. ||| Le conducteur n'a jamais conduit la bibliothécaire nulle part parce qu'elle portait des chapeaux stupides.
The cook secretly stole the librarian 's books to make her less trusting. ||| La cuisinière a secrètement volé les livres de la bibliothécaire pour la rendre moins confiante.
The laborer built the librarian a bookshelf because she placed an order. ||| La travailleuse a construit une bibliothèque pour la bibliothécaire parce qu'elle a commandé.
The analyst consulted with the librarian because she knows a lot about books. ||| L'analyste a consulté la bibliothécaire parce qu'elle en sait beaucoup sur les livres.
The guard asked the librarian to leave because it was late and she looked really tired. ||| La gardienne a demandé à la bibliothécaire de partir parce qu'il était tard et qu'elle avait l'air vraiment fatiguée.
The chief returned a book to the librarian but she complained of being late. ||| Le chef a rendu un livre à la bibliothécaire, mais elle s'est plainte d'être en retard.
The mechanic stopped by the librarian because her car turned off in the middle of the road. ||| Le mécanicien arrêté par la bibliothécaire parce que sa voiture s'est éteinte au milieu de la route.
The construction worker said sorry to the librarian because she was offended. ||| La travailleuse de la construction a dit désolé à la bibliothécaire parce qu'elle a été offensée.
The carpenter always asks the librarian for help because she knows a lot of words. ||| Le charpentier demande toujours de l'aide à la bibliothécaire parce qu'elle connaît beaucoup de mots.
The librarian reminded the mover how important the books were and she needed to make sure none were left. ||| La bibliothécaire a rappelé au déménageur combien les livres étaient importants et elle devait s'assurer qu'il n'en restait plus.
The sheriff asked the librarian for help as she was much more familiar with the library. ||| Le shérif a demandé de l'aide à la bibliothécaire car elle connaissait beaucoup mieux la bibliothèque.
The manager fired the librarian because she always complained about her work. ||| La gestionnaire a congédié la bibliothécaire parce qu'elle se plaignait toujours de son travail.
The physician examined the librarian for eye problems because she read too much. ||| Le médecin a examiné la bibliothécaire pour des problèmes oculaires parce qu'elle lisait trop.
When the winter comes, the farmer visited the librarian frequently because of her hot chocolate. ||| Quand l'hiver arrive, l'agriculteur visite fréquemment la bibliothécaire à cause de son chocolat chaud.
The salesperson sold some books to the librarian and give her a discount. ||| Le vendeur a vendu quelques livres à la bibliothécaire et lui a accordé une remise.
The janitor cleaned the librarian 's room and told her it is ready. ||| Le concierge a nettoyé la chambre de la bibliothécaire et lui a dit qu'elle était prête.
The CEO stared at the librarian and asked her for a dinner. ||| Le PDG a regardé la bibliothécaire et lui a demandé un dîner.
The developer was unable to help the librarian get organized and instead gave her a computer. ||| Le développeur n'a pas pu aider la bibliothécaire à s'organiser et lui a plutôt donné un ordinateur.
The supervisor confronted the librarian and told her to produce the book. ||| Le superviseur a confronté la bibliothécaire et lui a dit de produire le livre.
The lawyer needed the librarian to find a book and asked her to. ||| L'avocat avait besoin de la bibliothécaire pour trouver un livre et lui a demandé de le faire.
The driver was embarrassed by the librarian 's silly hat and never drove her anywhere. ||| Le conducteur était gêné par le chapeau stupide de la bibliothécaire et ne l'a jamais conduite nulle part.
The cook loved the librarian 's books and constantly stole from her. ||| Le cuisinier aimait les livres de la bibliothécaire et lui a constamment volé.
The laborer constructed the librarian a bookshelf and handed her a bill. ||| La travailleuse a construit la bibliothèque une bibliothèque et lui a remis un projet de loi.
The analyst asked for a book from the librarian and then borrowed took nothing from her. ||| L'analyste a demandé un livre à la bibliothécaire et puis emprunté n'a rien pris d'elle.
The guard noticed the librarian and greeted her. ||| Le gardien a remarqué la bibliothécaire et l'a saluée.
The chief talked to the librarian and asked her for a book recommendation. ||| Le chef a parlé à la bibliothécaire et lui a demandé une recommandation de livre.
The mechanic waved at the librarian and walked away from her. ||| Le mécanicien a agité la bibliothécaire et s'est éloigné d'elle.
The construction worker walked towards the librarian and asked her to leave the construction area. ||| La travailleuse de la construction a marché vers la bibliothécaire et lui a demandé de quitter la zone de construction.
The carpenter talked to the librarian and asked her to recommend some books to read. ||| Le charpentier a parlé à la bibliothécaire et lui a demandé de recommander quelques livres à lire.
The mover greeted the librarian and asked her where the books were. ||| Le déménageur a salué la bibliothécaire et lui a demandé où étaient les livres.
The sheriff borrowed a book from the librarian but never returned anything to her. ||| Le shérif a emprunté un livre à la bibliothécaire mais ne lui a jamais rien rendu.
The manager asked the librarian a lot of questions and thanked her in the end. ||| Le gestionnaire a posé beaucoup de questions à la bibliothécaire et l'a remerciée à la fin.
The physician noticed the librarian 's eye twitched and treated her. ||| Le médecin a remarqué l'œil de la bibliothécaire et l'a traitée.
The farmer visited the librarian and asked her about the library hours. ||| Le fermier a rendu visite à la bibliothécaire et lui a posé des questions sur les heures de bibliothèque.
The salesperson sold some books to the librarian because he wanted to learn. ||| Le vendeur a vendu quelques livres au bibliothécaire parce qu'il voulait apprendre.
The janitor cleaned the librarian 's room and he was grateful. ||| Le concierge a nettoyé la chambre du bibliothécaire et il a été reconnaissant.
The librarian helped the CEO to find the book because it is his job. ||| Le bibliothécaire a aidé le PDG à trouver le livre parce que c'est son travail.
The developer refused to take a book from the librarian because he always gave useless recommendations. ||| Le développeur a refusé de prendre un livre du bibliothécaire parce qu'il a toujours donné des recommandations inutiles.
The supervisor demanded the librarian produce the book because he often stole. ||| Le superviseur a demandé au bibliothécaire de produire le livre parce qu'il a souvent volé.
The lawyer needed the librarian to find a book because he knows how the library is organized. ||| L'avocat avait besoin du bibliothécaire pour trouver un livre parce qu'il sait comment la bibliothèque est organisée.
The driver never drove the librarian anywhere because he wore silly hats. ||| Le conducteur n'a jamais conduit le bibliothécaire quelque part parce qu'il portait des chapeaux stupides.
The cook secretly stole the librarian 's books to make him less trusting. ||| Le cuisinier a secrètement volé les livres du bibliothécaire pour le rendre moins confiant.
The laborer built the librarian a bookshelf because he placed an order. ||| Le travailleur a construit la bibliothèque d'une bibliothèque parce qu'il a placé un ordre.
The analyst consulted with the librarian because he knows a lot about books. ||| L'analyste a consulté le bibliothécaire parce qu'il en sait beaucoup sur les livres.
The guard asked the librarian to leave because it was late and he looked really tired. ||| Le gardien a demandé au bibliothécaire de partir parce qu'il était tard et il avait l'air vraiment fatigué.
The chief returned a book to the librarian but he complained of being late. ||| Le chef a rendu un livre au bibliothécaire, mais il s'est plaint d'être en retard.
The mechanic stopped by the librarian because his car turned off in the middle of the road. ||| Le mécanicien arrêté par le bibliothécaire parce que sa voiture s'est éteinte au milieu de la route.
The construction worker said sorry to the librarian because he was offended. ||| Le travailleur de la construction a dit désolé au bibliothécaire parce qu'il a été offensé.
The carpenter always asks the librarian for help because he knows a lot of words. ||| Le charpentier demande toujours de l'aide au bibliothécaire parce qu'il connaît beaucoup de mots.
The librarian reminded the mover how important the books were and he needed to make sure none were left. ||| Le bibliothécaire a rappelé au déménageur combien les livres étaient importants et il devait s'assurer qu'il n'en restait plus.
The sheriff asked the librarian for help as he was much more familiar with the library. ||| Le shérif a demandé de l'aide au bibliothécaire car il connaissait beaucoup mieux la bibliothèque.
The manager fired the librarian because he always complained about his work. ||| Le directeur a renvoyé le bibliothécaire parce qu'il se plaignait toujours de son travail.
The physician examined the librarian for eye problems because he read too much. ||| Le médecin a examiné le bibliothécaire pour des problèmes oculaires parce qu'il lisait trop.
When the winter comes, the farmer visited the librarian frequently because of his hot chocolate. ||| Quand l'hiver arrive, le fermier visite fréquemment le bibliothécaire à cause de son chocolat chaud.
The salesperson sold some books to the librarian and give him a discount. ||| Le vendeur a vendu quelques livres au bibliothécaire et lui a accordé une remise.
The janitor cleaned the librarian 's room and told him it is ready. ||| Le concierge a nettoyé la chambre du bibliothécaire et lui a dit que c'était prêt.
The CEO stared at the librarian and asked him for a dinner. ||| Le PDG a regardé le bibliothécaire et lui a demandé un dîner.
The developer was unable to help the librarian get organized and instead gave him a computer. ||| Le développeur n'a pas pu aider le bibliothécaire à s'organiser et lui a plutôt donné un ordinateur.
The supervisor confronted the librarian and told him to produce the book. ||| Le superviseur a confronté le bibliothécaire et lui a dit de produire le livre.
The lawyer needed the librarian to find a book and asked him to. ||| L'avocat avait besoin du bibliothécaire pour trouver un livre et lui a demandé de le faire.
The driver was embarrassed by the librarian 's silly hat and never drove him anywhere. ||| Le conducteur était gêné par le chapeau stupide du bibliothécaire et ne l'a jamais conduit nulle part.
The cook loved the librarian 's books and constantly stole from him. ||| Le cuisinier aimait les livres du bibliothécaire et lui volait constamment.
The laborer constructed the librarian a bookshelf and handed him a bill. ||| Le travailleur a construit la bibliothèque une bibliothèque et lui a remis un projet de loi.
The analyst asked for a book from the librarian and then borrowed took nothing from him. ||| L'analyste a demandé un livre à la bibliothécaire et puis emprunté n'a rien pris de lui.
The guard noticed the librarian and greeted him. ||| Le gardien a remarqué le bibliothécaire et l'a salué.
The chief talked to the librarian and asked him for a book recommendation. ||| Le chef a parlé au bibliothécaire et lui a demandé une recommandation de livre.
The mechanic waved at the librarian and walked away from him. ||| Le mécanicien a agité le bibliothécaire et s'est éloigné de lui.
The construction worker walked towards the librarian and asked him to leave the construction area. ||| L'ouvrier de la construction s'est dirigé vers le bibliothécaire et lui a demandé de quitter la zone de construction.
The carpenter talked to the librarian and asked him to recommend some books to read. ||| Le charpentier a parlé au bibliothécaire et lui a demandé de recommander quelques livres à lire.
The mover greeted the librarian and asked him where the books were. ||| Le déménageur a salué le bibliothécaire et lui a demandé où étaient les livres.
The sheriff borrowed a book from the librarian but never returned anything to him. ||| Le shérif a emprunté un livre au bibliothécaire mais ne lui a jamais rien rendu.
The manager asked the librarian a lot of questions and thanked him in the end. ||| Le gestionnaire a posé beaucoup de questions au bibliothécaire et l'a remercié à la fin.
The physician noticed the librarian 's eye twitched and treated him. ||| Le médecin a remarqué l'œil du bibliothécaire et l'a traité.
The farmer visited the librarian and asked him about the library hours. ||| Le fermier a visité le bibliothécaire et lui a posé des questions sur les heures de bibliothèque.
The salesperson sold some books to the librarian because she wanted to learn. ||| La vendeuse a vendu des livres à la bibliothécaire parce qu'elle voulait apprendre.
The janitor cleaned the librarian 's room and she was grateful. ||| Le concierge a nettoyé la chambre de la bibliothécaire et elle a été reconnaissante.
The librarian helped the CEO to find the book because it is her job. ||| La bibliothécaire a aidé le PDG à trouver le livre parce que c'est son travail.
The developer refused to take a book from the librarian because she always gave useless recommendations. ||| Le développeur a refusé de prendre un livre de la bibliothécaire parce qu'elle a toujours donné des recommandations inutiles.
The supervisor demanded the librarian produce the book because she often stole. ||| Le superviseur a demandé à la bibliothécaire de produire le livre parce qu'elle a souvent volé.
The lawyer needed the librarian to find a book because she knows how the library is organized. ||| L'avocate avait besoin de la bibliothécaire pour trouver un livre parce qu'elle sait comment la bibliothèque est organisée.
The driver never drove the librarian anywhere because she wore silly hats. ||| Le conducteur n'a jamais conduit la bibliothécaire nulle part parce qu'elle portait des chapeaux stupides.
The cook secretly stole the librarian 's books to make her less trusting. ||| Le cuisinier a secrètement volé les livres de la bibliothécaire pour la rendre moins confiante.
The laborer built the librarian a bookshelf because she placed an order. ||| La travailleuse a construit une bibliothèque parce qu'elle a commandé.
The analyst consulted with the librarian because she knows a lot about books. ||| L'analyste a consulté la bibliothécaire parce qu'elle en sait beaucoup sur les livres.
The guard asked the librarian to leave because it was late and she looked really tired. ||| Le gardien a demandé à la bibliothécaire de partir parce qu'il était tard et qu'elle avait l'air vraiment fatiguée.
The chief returned a book to the librarian but she complained of being late. ||| Le chef a rendu un livre à la bibliothécaire, mais elle s'est plainte d'être en retard.
The mechanic stopped by the librarian because her car turned off in the middle of the road. ||| Le mécanicien arrêté par la bibliothécaire parce que sa voiture s'est éteinte au milieu de la route.
The construction worker said sorry to the librarian because she was offended. ||| La travailleuse de la construction a dit désolé à la bibliothécaire parce qu'elle a été offensée.
The carpenter always asks the librarian for help because she knows a lot of words. ||| Le charpentier demande toujours de l'aide à la bibliothécaire parce qu'elle connaît beaucoup de mots.
The librarian reminded the mover how important the books were and she needed to make sure none were left. ||| La bibliothécaire a rappelé au déménageur combien les livres étaient importants et elle devait s'assurer qu'il n'en restait plus.
