The cook says that she can stay if she wants , but Hushpuppy says that she ' s got to go home . ||| El cocinero dice que puede permanecer si quiere, pero Hushpuppy dice que tiene que ir a casa.
Her mother was a scratch cook and her steelworker father a gardener . ||| Su madre era un cocinero y su padre de acero era un jardiner.
Her father was a restaurant cook and her mother , who wished to be a writer , stayed at home . ||| Su padre era un cocinero de restaurante y su madre, que quería ser escritor, se quedó en casa.
Satya , Lucky and Gopal enter the house as Satya Menon , a Malayali cook and her assistants . ||| Satya, Lucky y Gopal entran en la casa como Satya Menon, un cocinero malayo y sus asistentes.
He shares the lonely home with his live - in cook and her daughter , Celeste . ||| Comparte la casa solitaria con su vida - en coco y su hija, Celeste.
In two volumes of memoirs , he recounted his memories of the Council House Fight in 1840 ( in which the family 's cook saved his life ) , the evacuation of the city during the incursion by Gen. Rafael Vásquez in 1842 , and his father 's return from the prison at Perote , Veracruz , in 1843 . ||| En dos volúmenes de recuerdos, contó sus recuerdos de la Batalla de la Casa del Consejo en 1840 (en la que la cocina de la familia salvó su vida), la evacuación de la ciudad durante la incursión por el general Rafael Vásquez en 1842, y el regreso de su padre de la cárcel en Perote, Veracruz, en 1843.
Ghote asks to see the dishes the meal was served in and the cook reveals that he is an unreliable witness by first claiming the dishes are washed then offering an `` unwashed dish '' which is actually a clean dish with leftovers from the dustbin added . ||| Ghote pide ver los platos en los que se servía la comida y el cocinero revela que es un testigo infiel al primero afirmar que los platos están lavados y luego ofrecer un “plato no lavado” que en realidad es un plato limpio con restos de la polvo añadido.
The cook and his wife left a warm cloak for the ghost , and the next night they heard , " " ||| La cocinera y su esposa dejaron un caldo para el fantasma, y la noche siguiente oyeron, "
Fascinated by his mother , Guillaume imitates her voice to the family cook and his grandmother , Babou . ||| Fascinada por su madre, Guillaume imita su voz a la cocinera de la familia y a su abuela, Babou.
His : mother Elena Kolesnikova was a cook , and his father , Andrei Ivanovich Zakharenkov , a steelworker . ||| Su madre: Elena Kolesnikova era una cocinera, y su padre, Andrei Ivanovich Zakharenkov, un trabajador de acero.
A cook by trade , in 2019 , he will make his television debut in the 2019 PDC World Cup of Darts , partnering Andrea Micheletti . ||| Un cocinero por comercio, en 2019, hará su debut en la televisión en la Copa del Mundo de Darts de 2019 PDC, colaborando con Andrea Micheletti.
The cook explains how he had saved Sun and Moon . ||| La cocinera explica cómo había salvado el Sol y la Luna.
The cook says that she can stay if she wants , but Hushpuppy says that she ' s got to go home . ||| El cocinero dice que puede permanecer si quiere, pero Hushpuppy dice que tiene que ir a casa.
The South Australian cook Maggie Beer has popularised the use of verjuice in her cooking and it is being used increasingly in South Australian restaurants . ||| La cocinera australiana Maggie Beer ha popularizado el uso de verrugas en su cocina y se usa cada vez más en los restaurantes australianos del sur.
The cook set out herself . ||| El cocinero se define a sí mismo.
Camp cook , Juanita -LRB- Virginia Mendoza -RRB- becomes scared , thinking Trevor Moorehouse murdered James , and so decides she will leave the camp later that day . ||| Juanita -LRB- Virginia Mendoza -RRB- se vuelve asustado, pensando que Trevor Moorehouse asesinó a James, y así decide que dejará el campamento más tarde ese día.
Because she helps lay the fires , the palace cook nicknamed her " Embers " ( she is , of course , the Discworld version of Cinderella , although the full nickname " Emberella " is referred to as sounding " like something you 'd put up in the rain " ) . ||| Debido a que ayuda a derramar los fuegos, el cocinero del palacio la nombró "Embers" (ela es, por supuesto, la versión Discworld de Cinderella, aunque el nombre completo "Emberella" se refiere a sonar "como algo que usted 'deba poner en la lluvia ").
In the hierarchy of domestic service , a cook usually earned her position through apprenticeship , perhaps beginning in service as a kitchen maid . ||| En la jerarquía del servicio doméstico, un cocinero generalmente ganó su posición a través de la aprendizaje, particularmente comenzando en servicio como cocinero.
Buccola who arrived from Italy with his cook and her husband to take the reins of the New England Mafia . ||| Buccola que llegó de Italia con su cocinero y su marido para tomar los riñones de la Mafia de Nueva Inglaterra.
The New Zealand cook and author Annabel Langbein , who owns a small estate at the side of the lake , filmed her series " The Free Range Cook " and " Simple Pleasures " here . ||| La cocinera y autor de Nueva Zelanda Annabel Langbein, que posee una pequeña propiedad al lado del lago, filmó sus series "The Free Range Cook" y "Simple Pleasures" aquí.
As she recalled in an interview , `` I had to go home , take care of my family , cook and clean , and all of those things '' . ||| Como recordó en una entrevista, “he tenido que ir a casa, cuidar de mi familia, cocinar y limpiar, y todas esas cosas”.
Both of Guerrero ’s parents worked in a priory of the Trinitarian friars in Seville , her father as a cook and her mother as a laundress and seamstress . ||| Ambos de los padres de Guerrero trabajaron en una prioria de los fríos trinitares en Sevilla, su padre como cocinero y su madre como lavandería y marinería.
Mexican cook and author Josefina Velázquez de León wrote more than 140 cookbooks in her lifetime . ||| El cocinero y autor mexicano Josefina Velázquez de León escribió más de 140 libros de cocina en su vida.
She was giving casual public performances by the spring of 1908 , when she played the accordion at the logging camp where she worked as a cook and her father as a lumberjack . ||| Ella estaba dando actuaciones públicas aleatorias a la primavera de 1908, cuando jugó la concordia en el campamento donde trabajó como cocinero y su padre como lombero.
Mrs Caroline Hordern was a keen cook and the two - storey kitchen wing was heavily influenced by her . ||| La señora Caroline Hordern era una cocinera aficionada y las dos alas de la cocina estuvieron fuertemente influenciadas por ella.
As a result , the members of the former high - born Southern family take the servant positions , with Claudia as cook , her sister Elizabeth as maid , and her brothers as a butler and general worker . ||| Como resultado, los miembros de la antigua familia surgen toman las posiciones de siervo, con Claudia como cocinero, su hermana Elizabeth como maid, y sus hermanos como butler y trabajador general.
Papa Threadgoode gives Idgie money to start a business so she can care for Ruth and Buddy Jr. She and Ruth open the Whistle Stop Cafe , employing the family cook , Sipsey , and her son , Big George , who excels with a barbecue that becomes popular with their patrons . ||| Papa Threadgoode da a Idgie dinero para iniciar un negocio para que pueda cuidar de Ruth y Buddy Jr. Ella y Ruth abren el Whistle Stop Cafe, empleando al cocinero de la familia, Sipsey, y su hijo, Big George, que excelen con un barbecue que se convierte en popular con sus patrones.
Aside from the cook herself , the only person who can stomach Asahi 's cuisine is Gohgei , a young monk who watched over her as a child . ||| Aparte del cocinero mismo, la única persona que puede estómago la cocina de Asahi es Gohgei, un joven monje que la miró como un niño.
At the rise of the curtain , Gianna the cook and her scullery maids are busy preparing dinner , but Gianna no sooner leaves the kitchen than the scullery maids abandon their duties and begin to dance and play with saucepans and skillets . ||| En la ascensión de la cortina, Gianna el cocinero y sus cocineros están ocupados preparando la cena, pero Gianna no deja la cocina antes de que los cocineros abandonen sus deberes y comienzan a bailar y jugar con los sosipanos y las habilidades.
Asha is an excellent cook and cooking is her favorite hobby . ||| Asha es una excelente cocinera y cocinar es su hobby favorito.
Dick Green 's wife , Charlotte , a negro cook who described herself as the only female American woman to George Ruxton at the time of his visit in 1848 as " de only lady in de whole damn Injun country " . ||| La esposa de Dick Green, Charlotte, es un cocinero negro que se describe como la única mujer estadounidense a George Ruxton en el momento de su visita en 1848 como "de única dama en todo el maldito país de Injun ".
The next morning , the cook set her to make soup for the king , and she put her golden ring in it . ||| La mañana siguiente, la cocinera la puso para preparar la sopa para el rey, y ella puso su anillo de oro en ella.
Shaken , Ronda returns to the kitchen where Eddie Martin ( Bobby Darin ) , the cook and her boyfriend , asks if that was him and she nods her head ' yes ' . ||| Shaken, Ronda vuelve a la cocina donde Eddie Martin (Bobby Darin), el cocinero y su novio, preguntan si eso es él y ella ponga su cabeza'sí'.
Her mother was a scratch cook and her steelworker father a gardener . ||| Su madre era un cocinero y su padre un jardinerio.
Her father was a restaurant cook and her mother , who wished to be a writer , stayed at home . ||| Su padre era un cocinero de restaurante y su madre, que quería ser escritor, se quedó en casa.
Satya , Lucky and Gopal enter the house as Satya Menon , a Malayali cook and her assistants . ||| Satya, Lucky y Gopal entran en la casa como Satya Menon, un cocinero malayo y sus asistentes.
He shares the lonely home with his live - in cook and her daughter , Celeste . ||| Comparte la casa solitaria con su vida - en cocinero y su hija, Celeste.
In two volumes of memoirs , he recounted his memories of the Council House Fight in 1840 ( in which the family 's cook saved his life ) , the evacuation of the city during the incursion by Gen. Rafael Vásquez in 1842 , and his father 's return from the prison at Perote , Veracruz , in 1843 . ||| En dos volúmenes de recuerdos, contó sus recuerdos de la Batalla de la Casa del Consejo en 1840 (en la que la cocina de la familia salvó su vida), la evacuación de la ciudad durante la incursión por el general Rafael Vásquez en 1842, y el regreso de su padre de la cárcel en Perote, Veracruz, en 1843.
Ghote asks to see the dishes the meal was served in and the cook reveals that he is an unreliable witness by first claiming the dishes are washed then offering an `` unwashed dish '' which is actually a clean dish with leftovers from the dustbin added . ||| Ghote pide ver los platos en los que se servía la comida y el cocinero revela que él es un testigo incrédulo al primero afirmar que los platos se lavan y luego ofrecer un “plato no lavado” que en realidad es un plato limpio con restos de la polvo añadido.
The cook and his wife left a warm cloak for the ghost , and the next night they heard , " " ||| El cocinero y su esposa dejaron un caldo para el fantasma, y la noche siguiente oyeron, "
Fascinated by his mother , Guillaume imitates her voice to the family cook and his grandmother , Babou . ||| Fascinada por su madre, Guillaume imita su voz a la cocinera de la familia y a su abuela, Babou.
His : mother Elena Kolesnikova was a cook , and his father , Andrei Ivanovich Zakharenkov , a steelworker . ||| Su : madre Elena Kolesnikova era un cocinero, y su padre, Andrei Ivanovich Zakharenkov, un acero.
A cook by trade , in 2019 , he will make his television debut in the 2019 PDC World Cup of Darts , partnering Andrea Micheletti . ||| Un cocinero por comercio, en 2019, hará su debut en la televisión en la Copa Mundial de Darts de 2019 PDC, asociando a Andrea Micheletti.
The cook explains how he had saved Sun and Moon . ||| El cocinero explica cómo había salvado el Sol y la Luna.
The cook says that she can stay if she wants , but Hushpuppy says that she ' s got to go home . ||| El cocinero dice que puede permanecer si quiere, pero Hushpuppy dice que tiene que ir a casa.
The South Australian cook Maggie Beer has popularised the use of verjuice in her cooking and it is being used increasingly in South Australian restaurants . ||| El cocinero australiano Maggie Beer ha popularizado el uso de verrugas en su cocina y se usa cada vez más en los restaurantes australianos del sur.
The cook set out herself . ||| El cocinero se define.
Camp cook , Juanita -LRB- Virginia Mendoza -RRB- becomes scared , thinking Trevor Moorehouse murdered James , and so decides she will leave the camp later that day . ||| Camp cocinero, Juanita -LRB- Virginia Mendoza -RRB- se teme, pensando que Trevor Moorehouse mató a James, y así decide que dejará el campamento más tarde ese día.
Because she helps lay the fires , the palace cook nicknamed her " Embers " ( she is , of course , the Discworld version of Cinderella , although the full nickname " Emberella " is referred to as sounding " like something you 'd put up in the rain " ) . ||| Debido a que ella ayuda a derramar los fuegos, el cocinero del palacio la nombró " Embers " ( ella es, por supuesto, la versión Discworld de Cinderella, aunque el nombre completo " Emberella " se refiere a sonar " como algo que usted 'deba poner en la lluvia " ).
In the hierarchy of domestic service , a cook usually earned her position through apprenticeship , perhaps beginning in service as a kitchen maid . ||| En la jerarquía del servicio doméstico, un cocinero generalmente ganó su posición a través de la aprendizaje, particularmente comenzando en servicio como maid de cocina.
Buccola who arrived from Italy with his cook and her husband to take the reins of the New England Mafia . ||| Buccola que llegó de Italia con su cocinero y su marido para tomar los riñones de la New England Mafia.
The New Zealand cook and author Annabel Langbein , who owns a small estate at the side of the lake , filmed her series " The Free Range Cook " and " Simple Pleasures " here . ||| El cocinero y autor de Nueva Zelanda Annabel Langbein, que posee una pequeña propiedad al lado del lago, filmó sus series " The Free Range Cook " y " Simple Pleasures " aquí.
As she recalled in an interview , `` I had to go home , take care of my family , cook and clean , and all of those things '' . ||| Como ella recordó en una entrevista, “Tengo que ir a casa, cuidar de mi familia, cocinar y limpiar, y todas esas cosas”.
Both of Guerrero ’s parents worked in a priory of the Trinitarian friars in Seville , her father as a cook and her mother as a laundress and seamstress . ||| Ambos de los padres de Guerrero trabajaron en un priori de los fríos Trinitaros en Sevilla, su padre como cocinero y su madre como lavandería y marinería.
Mexican cook and author Josefina Velázquez de León wrote more than 140 cookbooks in her lifetime . ||| Cocinero mexicano y autor Josefina Velázquez de León escribió más de 140 libros de cocina en su vida.
She was giving casual public performances by the spring of 1908 , when she played the accordion at the logging camp where she worked as a cook and her father as a lumberjack . ||| Ella estaba dando actuaciones públicas aleatorias en la primavera de 1908, cuando jugó la concordia en el campamento donde trabajó como cocinero y su padre como lombero.
Mrs Caroline Hordern was a keen cook and the two - storey kitchen wing was heavily influenced by her . ||| La señora Caroline Hordern era una cocinera aficionada y las dos alas de la cocina se influyeron fuertemente por ella.
As a result , the members of the former high - born Southern family take the servant positions , with Claudia as cook , her sister Elizabeth as maid , and her brothers as a butler and general worker . ||| Como resultado, los miembros de la antigua familia alta-nacida del Sur toman las posiciones de siervo, con Claudia como cocinero, su hermana Elizabeth como maid, y sus hermanos como butler y trabajador general.
Papa Threadgoode gives Idgie money to start a business so she can care for Ruth and Buddy Jr. She and Ruth open the Whistle Stop Cafe , employing the family cook , Sipsey , and her son , Big George , who excels with a barbecue that becomes popular with their patrons . ||| Papa Threadgoode da a Idgie dinero para comenzar un negocio para que pueda cuidar de Ruth y Buddy Jr. Ella y Ruth abren el Whistle Stop Cafe, empleando al cocinero de la familia, Sipsey, y su hijo, Big George, que excelen con un barbecue que se convierte en popular con sus patrones.
Aside from the cook herself , the only person who can stomach Asahi 's cuisine is Gohgei , a young monk who watched over her as a child . ||| Además del cocinero mismo, la única persona que puede estómago la cocina de Asahi es Gohgei, un joven monje que la miró como un niño.
At the rise of the curtain , Gianna the cook and her scullery maids are busy preparing dinner , but Gianna no sooner leaves the kitchen than the scullery maids abandon their duties and begin to dance and play with saucepans and skillets . ||| Al ascender de la cortina, Gianna el cocinero y sus maids escullery están ocupados preparando la cena, pero Gianna no deja la cocina antes que los maids escullery abandonen sus deberes y comienzan a bailar y a jugar con los sosipanos y las habilidades.
Asha is an excellent cook and cooking is her favorite hobby . ||| Asha es un excelente cocinero y cocinar es su hobby favorito.
Dick Green 's wife , Charlotte , a negro cook who described herself as the only female American woman to George Ruxton at the time of his visit in 1848 as " de only lady in de whole damn Injun country " . ||| Dick Green's esposa, Charlotte, un cocinero negro que se describió como la única mujer estadounidense a George Ruxton en el momento de su visita en 1848 como "de única dama en de todo maldito país de Injun ".
The next morning , the cook set her to make soup for the king , and she put her golden ring in it . ||| La mañana siguiente, el cocinero la puso para hacer sopa para el rey, y ella puso su anillo de oro en ella.
Shaken , Ronda returns to the kitchen where Eddie Martin ( Bobby Darin ) , the cook and her boyfriend , asks if that was him and she nods her head ' yes ' . ||| Shaken, Ronda vuelve a la cocina donde Eddie Martin (Bobby Darin), el cocinero y su amigo, preguntan si eso era él y ella ponga su cabeza'sí'.
Her mother was a scratch cook and her steelworker father a gardener . ||| Su madre era un cocinero de césped y su padre de acero un jardiner.
Her father was a restaurant cook and her mother , who wished to be a writer , stayed at home . ||| Su padre era un cocinero de restaurante y su madre, que quería ser un escritor, se quedó en casa.
Satya , Lucky and Gopal enter the house as Satya Menon , a Malayali cook and her assistants . ||| Satya, Lucky y Gopal entran en la casa como Satya Menon, un cocinero malayo y sus asistentes.
He shares the lonely home with his live - in cook and her daughter , Celeste . ||| Él comparte la casa solitaria con su vida - en cocinero y su hija, Celeste.
In two volumes of memoirs , he recounted his memories of the Council House Fight in 1840 ( in which the family 's cook saved his life ) , the evacuation of the city during the incursion by Gen. Rafael Vásquez in 1842 , and his father 's return from the prison at Perote , Veracruz , in 1843 . ||| En dos volúmenes de recuerdos, contó sus recuerdos de la Batalla de la Casa del Consejo en 1840 (en la que la cocina de la familia salvó su vida), la evacuación de la ciudad durante la incursión por el general Rafael Vásquez en 1842, y el regreso de su padre de la cárcel en Perote, Veracruz, en 1843.
Ghote asks to see the dishes the meal was served in and the cook reveals that he is an unreliable witness by first claiming the dishes are washed then offering an `` unwashed dish '' which is actually a clean dish with leftovers from the dustbin added . ||| Ghote pide ver los platos en los que se servía la comida y el cocinero revela que él es un testigo infiel al primero afirmar que los platos están lavados y luego ofrecer un "plato no lavado" que es en realidad un plato limpio con restos del polvo añadido.
The cook and his wife left a warm cloak for the ghost , and the next night they heard , " " ||| El cocinero y su esposa dejaron un caldo para el fantasma, y la noche siguiente oyeron, "
Fascinated by his mother , Guillaume imitates her voice to the family cook and his grandmother , Babou . ||| Fascinada por su madre, Guillaume imita su voz a la cocinera de la familia y su abuela, Babou.
His : mother Elena Kolesnikova was a cook , and his father , Andrei Ivanovich Zakharenkov , a steelworker . ||| Su: madre Elena Kolesnikova era un cocinero, y su padre, Andrei Ivanovich Zakharenkov, un trabajador de acero.
A cook by trade , in 2019 , he will make his television debut in the 2019 PDC World Cup of Darts , partnering Andrea Micheletti . ||| Un cocinero por comercio, en 2019, él hará su debut en la televisión en la Copa del Mundo de Darts de 2019 PDC, en colaboración con Andrea Micheletti.
The cook explains how he had saved Sun and Moon . ||| El cocinero explica cómo él había salvado el Sol y la Luna.
The cook says that she can stay if she wants , but Hushpuppy says that she ' s got to go home . ||| La cocinera dice que puede permanecer si quiere, pero Hushpuppy dice que tiene que ir a casa.
The South Australian cook Maggie Beer has popularised the use of verjuice in her cooking and it is being used increasingly in South Australian restaurants . ||| La cocinera australiana Maggie Beer ha popularizado el uso de verrugas en su cocina y se usa cada vez más en los restaurantes australianos del sur.
The cook set out herself . ||| El cocinero se define a sí mismo.
Camp cook , Juanita -LRB- Virginia Mendoza -RRB- becomes scared , thinking Trevor Moorehouse murdered James , and so decides she will leave the camp later that day . ||| Juanita -LRB- Virginia Mendoza -RRB- se teme, pensando que Trevor Moorehouse mató a James, y así decide que dejará el campamento más tarde ese día.
Because she helps lay the fires , the palace cook nicknamed her " Embers " ( she is , of course , the Discworld version of Cinderella , although the full nickname " Emberella " is referred to as sounding " like something you 'd put up in the rain " ) . ||| Debido a que ella ayuda a derramar los fuegos, el cocinero del palacio la nombró "Embers" ( ella es, por supuesto, la versión Discworld de Cinderella, aunque el nombre completo "Emberella" se refiere a sonar "como algo que usted 'deba poner en la lluvia ").
In the hierarchy of domestic service , a cook usually earned her position through apprenticeship , perhaps beginning in service as a kitchen maid . ||| En la jerarquía del servicio doméstico, un cocinero generalmente ganó su posición a través de la aprendizaje, particularmente comenzando en servicio como cocinero.
Buccola who arrived from Italy with his cook and her husband to take the reins of the New England Mafia . ||| Buccola que llegó de Italia con su cocinero y su marido para tomar los riñones de la Mafia de Nueva Inglaterra.
The New Zealand cook and author Annabel Langbein , who owns a small estate at the side of the lake , filmed her series " The Free Range Cook " and " Simple Pleasures " here . ||| La cocinera y autor de Nueva Zelanda Annabel Langbein, que posee una pequeña propiedad al lado del lago, filmó sus series "The Free Range Cook" y "Simple Pleasures" aquí.
As she recalled in an interview , `` I had to go home , take care of my family , cook and clean , and all of those things '' . ||| Como recordó en una entrevista, “he tenido que ir a casa, cuidar de mi familia, cocinar y limpiar, y todas esas cosas”.
Both of Guerrero ’s parents worked in a priory of the Trinitarian friars in Seville , her father as a cook and her mother as a laundress and seamstress . ||| Ambos de los padres de Guerrero trabajaron en una prioria de los fríos trinitares en Sevilla, su padre como cocinero y su madre como lavandería y marinería.
Mexican cook and author Josefina Velázquez de León wrote more than 140 cookbooks in her lifetime . ||| El cocinero y autor mexicano Josefina Velázquez de León escribió más de 140 libros de cocina en su vida.
She was giving casual public performances by the spring of 1908 , when she played the accordion at the logging camp where she worked as a cook and her father as a lumberjack . ||| Ella estaba dando actuaciones públicas aleatorias a la primavera de 1908, cuando jugó la concordia en el campamento donde trabajó como cocinero y su padre como lombero.
Mrs Caroline Hordern was a keen cook and the two - storey kitchen wing was heavily influenced by her . ||| La señora Caroline Hordern era una cocinera aficionada y las dos alas de la cocina estuvieron fuertemente influenciadas por ella.
As a result , the members of the former high - born Southern family take the servant positions , with Claudia as cook , her sister Elizabeth as maid , and her brothers as a butler and general worker . ||| Como resultado, los miembros de la antigua familia surgen toman las posiciones de siervo, con Claudia como cocinero, su hermana Elizabeth como maid, y sus hermanos como butler y trabajador general.
Papa Threadgoode gives Idgie money to start a business so she can care for Ruth and Buddy Jr. She and Ruth open the Whistle Stop Cafe , employing the family cook , Sipsey , and her son , Big George , who excels with a barbecue that becomes popular with their patrons . ||| Papa Threadgoode da a Idgie dinero para iniciar un negocio para que pueda cuidar de Ruth y Buddy Jr. Ella y Ruth abren el Whistle Stop Cafe, empleando al cocinero de la familia, Sipsey, y su hijo, Big George, que excelen con un barbecue que se convierte en popular con sus patrones.
Aside from the cook herself , the only person who can stomach Asahi 's cuisine is Gohgei , a young monk who watched over her as a child . ||| Aparte del cocinero mismo, la única persona que puede estómago la cocina de Asahi es Gohgei, un joven monje que la miró como un niño.
At the rise of the curtain , Gianna the cook and her scullery maids are busy preparing dinner , but Gianna no sooner leaves the kitchen than the scullery maids abandon their duties and begin to dance and play with saucepans and skillets . ||| En la ascensión de la cortina, Gianna el cocinero y sus cocineros están ocupados preparando la cena, pero Gianna no deja la cocina antes que los cocineros abandonen sus deberes y comienzan a bailar y a jugar con sosipanas y cuernos.
Asha is an excellent cook and cooking is her favorite hobby . ||| Asha es un excelente cocinero y la cocina es su hobby favorito.
Dick Green 's wife , Charlotte , a negro cook who described herself as the only female American woman to George Ruxton at the time of his visit in 1848 as " de only lady in de whole damn Injun country " . ||| La esposa de Dick Green, Charlotte, es un cocinero negro que se describe como la única mujer estadounidense a George Ruxton en el momento de su visita en 1848 como "de única dama en todo el maldito país de Injun ".
The next morning , the cook set her to make soup for the king , and she put her golden ring in it . ||| La mañana siguiente, la cocinera la puso para hacer sopa para el rey, y ella puso su anillo de oro en ella.
Shaken , Ronda returns to the kitchen where Eddie Martin ( Bobby Darin ) , the cook and her boyfriend , asks if that was him and she nods her head ' yes ' . ||| Shaken, Ronda vuelve a la cocina donde Eddie Martin (Bobby Darin), el cocinero y su novio, preguntan si eso es él y ella ponga su cabeza'sí'.
Her mother was a scratch cook and her steelworker father a gardener . ||| Su madre era un cocinero y su padre de acero era un jardiner.
Her father was a restaurant cook and her mother , who wished to be a writer , stayed at home . ||| Su padre era un cocinero de restaurante y su madre, que quería ser escritor, se quedó en casa.
Satya , Lucky and Gopal enter the house as Satya Menon , a Malayali cook and her assistants . ||| Satya, Lucky y Gopal entran en la casa como Satya Menon, un cocinero malayo y sus asistentes.
He shares the lonely home with his live - in cook and her daughter , Celeste . ||| Él comparte la casa solitaria con su vida - en cocinero y su hija, Celeste.
In two volumes of memoirs , he recounted his memories of the Council House Fight in 1840 ( in which the family 's cook saved his life ) , the evacuation of the city during the incursion by Gen. Rafael Vásquez in 1842 , and his father 's return from the prison at Perote , Veracruz , in 1843 . ||| En dos volúmenes de recuerdos, contó sus recuerdos de la Batalla de la Casa del Consejo en 1840 (en la que la cocina de la familia salvó su vida), la evacuación de la ciudad durante la incursión por el general Rafael Vásquez en 1842, y el regreso de su padre de la cárcel en Perote, Veracruz, en 1843.
Ghote asks to see the dishes the meal was served in and the cook reveals that he is an unreliable witness by first claiming the dishes are washed then offering an `` unwashed dish '' which is actually a clean dish with leftovers from the dustbin added . ||| Ghote pide ver los platos en los que se servía la comida y el cocinero revela que es un testigo infiel al primero afirmar que los platos están lavados y luego ofrecer un “plato no lavado” que en realidad es un plato limpio con restos del polvo añadidos.
The cook and his wife left a warm cloak for the ghost , and the next night they heard , " " ||| El cocinero y su esposa dejaron un caldo para el fantasma, y la noche siguiente oyeron, "
Fascinated by his mother , Guillaume imitates her voice to the family cook and his grandmother , Babou . ||| Fascinada por su madre, Guillaume imita su voz al cocinero de la familia y a su abuela, Babou.
His : mother Elena Kolesnikova was a cook , and his father , Andrei Ivanovich Zakharenkov , a steelworker . ||| Su : madre Elena Kolesnikova era un cocinero, y su padre, Andrei Ivanovich Zakharenkov, un trabajador de acero.
A cook by trade , in 2019 , he will make his television debut in the 2019 PDC World Cup of Darts , partnering Andrea Micheletti . ||| Un cocinero por comercio, en 2019, hará su debut en la televisión en la Copa Mundial de Darts de 2019 PDC, asociando a Andrea Micheletti.
The cook explains how he had saved Sun and Moon . ||| El cocinero explica cómo había salvado el Sol y la Luna.
The cook says that she can stay if she wants , but Hushpuppy says that she ' s got to go home . ||| El cocinero dice que puede permanecer si quiere, pero Hushpuppy dice que tiene que ir a casa.
The South Australian cook Maggie Beer has popularised the use of verjuice in her cooking and it is being used increasingly in South Australian restaurants . ||| La cocinera australiana Maggie Beer ha popularizado el uso de verjuice en su cocina y se usa cada vez más en los restaurantes australianos del sur.
The cook set out herself . ||| El cocinero se define a sí mismo.
Camp cook , Juanita -LRB- Virginia Mendoza -RRB- becomes scared , thinking Trevor Moorehouse murdered James , and so decides she will leave the camp later that day . ||| Juanita -LRB- Virginia Mendoza -RRB- se teme, pensando que Trevor Moorehouse mató a James, y así decide que dejará el campamento más tarde ese día.
Because she helps lay the fires , the palace cook nicknamed her " Embers " ( she is , of course , the Discworld version of Cinderella , although the full nickname " Emberella " is referred to as sounding " like something you 'd put up in the rain " ) . ||| Debido a que ella ayuda a derramar los fuegos, el cocinero del palacio la nombró "Embers" ( ella es, por supuesto, la versión Discworld de Cinderella, aunque el nombre completo "Emberella" se refiere a sonar "como algo que usted 'deba poner en la lluvia ").
In the hierarchy of domestic service , a cook usually earned her position through apprenticeship , perhaps beginning in service as a kitchen maid . ||| En la jerarquía del servicio doméstico, un cocinero generalmente ganó su posición a través de la aprendizaje, particularmente comenzando en servicio como cocinero.
Buccola who arrived from Italy with his cook and her husband to take the reins of the New England Mafia . ||| Buccola que llegó de Italia con su cocinero y su marido para tomar los riñones de la Mafia de Nueva Inglaterra.
The New Zealand cook and author Annabel Langbein , who owns a small estate at the side of the lake , filmed her series " The Free Range Cook " and " Simple Pleasures " here . ||| La cocinera y autor de Nueva Zelanda Annabel Langbein, que posee una pequeña vivienda al lado del lago, filmó sus series "The Free Range Cook" y "Simple Pleasures" aquí.
As she recalled in an interview , `` I had to go home , take care of my family , cook and clean , and all of those things '' . ||| Como recordó en una entrevista, “he tenido que ir a casa, cuidar de mi familia, cocinar y limpiar, y todas esas cosas”.
Both of Guerrero ’s parents worked in a priory of the Trinitarian friars in Seville , her father as a cook and her mother as a laundress and seamstress . ||| Ambos de los padres de Guerrero trabajaron en una prioria de los fríos trinitares en Sevilla, su padre como cocinero y su madre como lavandería y semejante.
Mexican cook and author Josefina Velázquez de León wrote more than 140 cookbooks in her lifetime . ||| El cocinero y autor mexicano Josefina Velázquez de León escribió más de 140 libros de cocina en su vida.
She was giving casual public performances by the spring of 1908 , when she played the accordion at the logging camp where she worked as a cook and her father as a lumberjack . ||| Estaba dando actuaciones públicas aleatorias a la primavera de 1908, cuando jugó la concordia en el campamento donde trabajó como cocinero y su padre como lombero.
Mrs Caroline Hordern was a keen cook and the two - storey kitchen wing was heavily influenced by her . ||| La señora Caroline Hordern era una cocinera aficionada y las dos alas de la cocina estuvieron fuertemente influenciadas por ella.
As a result , the members of the former high - born Southern family take the servant positions , with Claudia as cook , her sister Elizabeth as maid , and her brothers as a butler and general worker . ||| Como resultado, los miembros de la antigua familia surgen toman las posiciones de siervo, con Claudia como cocinero, su hermana Elizabeth como maid, y sus hermanos como butler y trabajador general.
Papa Threadgoode gives Idgie money to start a business so she can care for Ruth and Buddy Jr. She and Ruth open the Whistle Stop Cafe , employing the family cook , Sipsey , and her son , Big George , who excels with a barbecue that becomes popular with their patrons . ||| Papa Threadgoode da a Idgie dinero para iniciar un negocio para que pueda cuidar de Ruth y Buddy Jr. Ella y Ruth abren el Whistle Stop Cafe, empleando al cocinero de la familia, Sipsey, y su hijo, Big George, que excelen con un barbecue que se convierte en popular con sus patrones.
Aside from the cook herself , the only person who can stomach Asahi 's cuisine is Gohgei , a young monk who watched over her as a child . ||| Aparte del cocinero mismo, la única persona que puede estómago la cocina de Asahi es Gohgei, un joven monje que la miró como un niño.
