Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's madre es un diseñador de joyas y su padre es un abogado.
The biological mother of Mia who was often portrayed as faceless character who lived in New York as fashion designer having her face always covered by a sculpture , in the 1st half of the show . ||| La madre biológica de Mia que a menudo fue retratada como personaje sin rostro que vivía en Nueva York como diseñadora de moda teniendo su cara siempre cubierta por una escultura, en la primera mitad del espectáculo.
Two days later the project was revealed to be a hoax perpetrated by Funny Or Die , after the video 's costume designer posted the experience on her online resume . ||| Dos días más tarde, el proyecto fue revelado como un engaño perpetrado por Funny Or Die, después de que el diseñador de vestuario del video publicó la experiencia en su currículum en línea.
designer Dhafali Devi won the award for her rug under the Discipline category . ||| diseñador Dhafali Devi ganó el premio por su alfombra en la categoría Disciplina.
The Sui by Anna Sui line and her jeans line continued under operation after the designer left her designer job at Gilmar 's Cento X Cento . ||| La línea Sui de Anna Sui y su línea de vaqueros continuaron bajo operación después de que el diseñador dejó su trabajo de diseñador en Gilmar's Cento X Cento.
As costume designer Rita Riggs described in her 2001 Archive of American Television interview , Lear 's idea was to create the feeling of sepia tones , in an attempt to make viewers feel as if they were looking at an old family album . ||| Como la diseñadora de vestuario Rita Riggs describió en su 2001 Archive of American Television entrevista, Lear's idea era crear la sensación de sepia tonos, en un intento de hacer que los espectadores se sientan como si estuvieran mirando un viejo álbum familiar.
After her mother 's death , New York City fashion designer Lisa Rayborn ( Natasha Henstridge ) returns to her hometown and family farm . ||| Después de la muerte de su madre, la diseñadora de moda de Nueva York Lisa Rayborn ( Natasha Henstridge ) regresa a su ciudad natal y granja familiar.
Rita Ryack is a costume designer who was nominated for an Academy Award for Best Costume Design at the 73rd Academy Awards for her work in " How the Grinch Stole Christmas " . ||| Rita Ryack es una diseñadora de vestuario que fue nominada a un premio de la Academia al mejor diseño de vestuario en los 73o Premios de la Academia por su trabajo en " How the Grinch Stole Christmas ".
It is important that in order to be an industrial design the product has to be produced in an industrial way , for example an artisan ca not be considered an industrial designer although she may challenge the same aspects of a product . ||| Es importante que para ser un diseño industrial el producto tiene que ser producido de una manera industrial, por ejemplo un artesano ca no ser considerado un diseñador industrial aunque ella puede desafiar los mismos aspectos de un producto.
Elizabeth Florence Emanuel ( née Weiner , born 5 July 1953 ) is a British fashion designer who is best known for designing , with her former husband David Emanuel , the wedding dress worn by Diana , Princess of Wales , in 1981 . ||| Elizabeth Florence Emanuel (née Weiner, nacida el 5 de julio de 1953 ) es una diseñadora de moda británica que es conocida por diseñar, con su ex marido David Emanuel, el vestido de novia llevado por Diana, Princesa de Gales, en 1981.
designer Dhafali Devi won the award for her rug . ||| diseñador Dhafali Devi ganó el premio por su alfombra.
The designer Jill Richards , herself a Hollywood actress of around the same era , favoured it in her collections of the 1970s , attracting a clientele of names such as Nancy Reagan . ||| La diseñadora Jill Richards, ella misma actriz de Hollywood de alrededor de la misma era, lo favoreció en sus colecciones de la década de 1970, atrayendo a una clientela de nombres como Nancy Reagan.
Beulah Elizabeth Hazelrigg Brown ( November 24 , 1892 – March 26 , 1987 ) was a Hoosier painter , educator , and textile designer who is best known for her bold , colorful , abstract patterns for fabrics , as well as figure , genre , landscapes , and floral still - life paintings in watercolor , her preferred media . ||| Beulah Elizabeth Hazelrigg Brown (24 de noviembre de 1892 – 26 de marzo de 1987) fue una pintora, educadora y diseñadora textil Hoosier que es mejor conocida por sus atrevidos, coloridos, patrones abstractos para telas, así como figura, género, paisajes y naturaleza floral - pinturas de vida en acuarela, su medio preferido.
Chanel chief designer Karl Lagerfeld noted Zhou Xun for her strong fashion sense , describing the actress as " a synthesis of young Coco Chanel and Ballet Troupe Zizi Jeanmaire . " ||| El diseñador jefe de Chanel, Karl Lagerfeld, destacó a Zhou Xun por su fuerte sentido de la moda, describiendo a la actriz como " una síntesis del joven Coco Chanel y Ballet Troupe Zizi Jeanmaire. "
She portrayed fashion designer `` Margo Lynley '' from the serial ' s inception until 1992 when she left to begin a family . ||| Ella interpretó a la diseñadora de moda `` Margo Lynley '' desde el inicio de la serie hasta 1992 cuando se fue para formar una familia.
Under the label " LalicA " , the designer has produced her clothing line since 2002 . ||| Bajo la etiqueta " LalicA ", la diseñadora ha producido su línea de ropa desde 2002.
He also brought first - time collaborators production designer Barbara Ling based on her work in recreating historical settings in " The Doors " , and costume designer Arianne Phillips , who had a strong client list to her name including Tom Ford , James Mangold and Madonna . ||| También trajo a la diseñadora de producción Barbara Ling basada en su trabajo de recrear entornos históricos en " The Doors ", y a la diseñadora de vestuario Arianne Phillips, que tenía una fuerte lista de clientes a su nombre incluyendo a Tom Ford, James Mangold y Madonna.
Pope opted to leave Naughty Dog around 2010 , after " " was released , to move to Saitama , Japan , along with his wife Keiko , a game designer herself . ||| Pope optó por dejar Naughty Dog alrededor del 2010, después de que " " fue lanzado, para mudarse a Saitama, Japón, junto con su esposa Keiko, una diseñadora de juegos ella misma.
Production designer Mihaela Poenaru drew on her recollections of the period to prepare the locations . ||| La diseñadora de producción Mihaela Poenaru se basó en sus recuerdos de la época para preparar los lugares.
Regarding The Silence of the Lambs mentioned above , I remember a behind-the-scenes documentary on it , and in it the costume designer for the film mentioned that she specifically strove for more ageless clothing for everyone , rather than what would have been characteristic of the early 1990s . ||| Respecto al Silence of the Lambs mencionado anteriormente, recuerdo un documental entre bastidores sobre él, y en él la diseñadora de vestuario para la película mencionó que se esforzó específicamente por ropa más anticuada para todos, en lugar de lo que habría sido característico de los principios de los años 90.
Olga , the main character , wants to be a costumes and set designer and her dreams come true when she works as an assistant for the famous edition of " La Traviata " directed by Luchino Visconti in 1955 . ||| Olga, el personaje principal, quiere ser una diseñadora de trajes y decorados y sus sueños se hacen realidad cuando trabaja como asistente para la famosa edición de "La Traviata" dirigida por Luchino Visconti en 1955.
This episode introduces the station ' s graphics designer , Mona , as she draws pictures for Nas ' story for the children ' s segment `` Listen With Frank '' . ||| Este episodio presenta a la diseñadora gráfica de la estación, Mona, mientras dibuja imágenes para la historia de Nas para el segmento de niños `` Escucha con Frank ''.
At the same time , the designer wanted her creations to be equally as interesting on an intellectual level for parents to enjoy also . ||| Al mismo tiempo, la diseñadora quería que sus creaciones fueran igualmente interesantes a nivel intelectual para que los padres también disfrutaran.
Although costume designer Vasuki Baskar wrote on her social media account that the first look of the film would be released on 13 November , during the Diwali festival , it was unveiled on 15 December 2012 at Yuvan Shankar Raja 's concert in Malaysia . ||| Aunque la diseñadora de vestuario Vasuki Baskar escribió en su cuenta de redes sociales que el primer look de la película sería lanzado el 13 de noviembre, durante el festival Diwali, fue presentado el 15 de diciembre de 2012 en el concierto de Yuvan Shankar Raja en Malasia.
Jenny Hellström ( born 1976 in Hofors , Gästrikland ) is both the name of a Swedish designer and her clothing brand . ||| Jenny Hellström (nacida en 1976 en Hofors, Gästrikland) es una diseñadora sueca y su marca de ropa.
After World War II the famous designer reestablished herself . ||| Después de la Segunda Guerra Mundial la famosa diseñadora se restableció.
Prominent Lithuanian clothing designer usually organizes his collections presentations in Vilnius . ||| El destacado diseñador lituano suele organizar sus presentaciones de colecciones en Vilna.
For example , if one worker designs cars and another builds them , the designer will use his cognitive skills more frequently than the builder . ||| Por ejemplo, si un trabajador diseña coches y otro los construye, el diseñador utilizará sus habilidades cognitivas con más frecuencia que el constructor.
In 2017 , it was reported that the designer of Comic Sans had only used his typeface once . ||| En 2017, se informó que el diseñador de Comic Sans sólo había utilizado su tipografía una vez.
Nilssen maintains that the ovens were designed by Torsten Hoff , a renowned designer of ovens , who established himself as a sculptor in Christiania in 1711 , working there until his 1754 death . ||| Nilssen sostiene que los hornos fueron diseñados por Torsten Hoff, un renombrado diseñador de hornos, que se estableció como escultor en Christiania en 1711, trabajando allí hasta su muerte en 1754.
There is a chance that additional information could impede the reusability of the service as the service consumer designer may streamline his design based on this knowledge . ||| Existe la posibilidad de que la información adicional pueda impedir la reutilizabilidad del servicio ya que el diseñador consumidor de servicios puede racionalizar su diseño basado en este conocimiento.
Elwood Engel , famous for being lead designer of the 1961 Lincoln Continental and for his work as chief designer at Chrysler in the 1960s , was Staff Stylist ( and consequently roamed all of the design studios ) at Ford during this period and worked very closely with John Najjar in developing not only the 1958 , but also the 1959 update . ||| Elwood Engel, famoso por ser diseñador líder del Lincoln Continental 1961 y por su trabajo como diseñador jefe en Chrysler en la década de 1960, fue Staff Stylist (y consecuentemente deambuló por todos los estudios de diseño) en Ford durante este período y trabajó muy estrechamente con John Najjar en el desarrollo no sólo de la 1958, sino también la actualización de 1959.
A successful and well known designer and craftsman in hand wrought silver jewelry by vocation , Joe 's greatest creative drive went into his work in sculpture . ||| Un exitoso y bien conocido diseñador y artesano en joyería de plata forjada a mano por vocación, Joe's mayor impulso creativo entró en su trabajo en la escultura.
He , probably more than any designer knew his customer and understood her . " ||| Él, probablemente más de lo que cualquier diseñador conocía a su cliente y la entendía. "
O. S. Nock describes it as ‘ the most disappointing and tactless act in his short and stormy career as CME , ’ and Allen stated ‘ he turned it into a machine of such hideous appearance as might well have made its designer turn in his grave . ||| O. S. Nock lo describe como ‘ el acto más decepcionante y sin tacto en su corta y tormentosa carrera como CME, ’ y Allen declaró ‘ lo convirtió en una máquina de aspecto tan horrible que bien podría haber hecho que su diseñador se volviera en su tumba.
In October 1998 , Hyundai complained to the BBC about what they described as " bigoted and racist " comments he made at the Birmingham Motor Show , where he was reported as saying that the people working on the Hyundai stand had " eaten a dog " and that the designer of the Hyundai XG had probably eaten a spaniel for his lunch . ||| En octubre de 1998, Hyundai se quejó ante la BBC de lo que describieron como "intolerante y racista" comentarios que hizo en el Birmingham Motor Show, donde se informó que dijo que la gente que trabajaba en el stand de Hyundai había "comido un perro" y que el diseñador del Hyundai XG probablemente había comido un spaniel para su almuerzo.
In his " New York Times " review , Frank Rich wrote : " In his brilliant lighting ... the designer Dennis Parichy has captured the entire spectrum of weather known to habitues of New England beaches in August . ||| En su " New York Times ", Frank Rich escribió : " En su brillante iluminación... el diseñador Dennis Parichy ha capturado todo el espectro del clima conocido por los habitues de las playas de Nueva Inglaterra en agosto.
Pfitzner , a “ designer of high - class gasoline motors , transmissions , and gears ” was employed by Glen Curtiss at his Hammondsport factory . ||| Pfitzner, un “ diseñador de motores de gasolina de alta clase, transmisiones, y engranajes ” fue empleado por Glen Curtiss en su fábrica Hammondsport.
The designers were able to create a room for Italy , Mexico or Thailand , with one paint can being empty , which let that one designer choose whatever country he wanted . ||| Los diseñadores fueron capaces de crear una habitación para Italia, México o Tailandia, con una pintura puede estar vacío, que dejó que un diseñador elegir cualquier país que quería.
In the former case , device drivers may be required which the system designer may or may not be able to rely on if he has no control over the client device -LRB- as in the case of authentication to a public website -RRB- . ||| En el primer caso, los controladores de dispositivo pueden ser requeridos en los que el diseñador del sistema puede o no ser capaz de confiar si no tiene control sobre el dispositivo cliente -LRB- como en el caso de la autenticación a un sitio web público -RRB-.
1520–1601 ) was a Franc - comtois sculptor , trained as a " menuisier " or wood - worker ; as a designer of Mannerist ornaments , his published designs , such as " Oevvre de la diversite des termes , do nt on use en architecture , reduicts en ordres " , Lyon , 1572 , inspired luxury furnishings , such as dressoires , armoires and cabinets . ||| 1520-1601 ) fue un escultor franco - comtois, formado como un " menuisier " o madera - trabajador ; como diseñador de adornos manieristas, sus diseños publicados, tales como " Oevvre de la diversite des termes, do nt on use en architecture, reduicts en ordres ", Lyon, 1572, muebles de lujo inspirados, tales como dressoires, armarios y armarios.
From the leftovers of the furniture production the young designer started to create leather bags and accessoires since he did not want to waste any material and started to sell them along with his furniture collection at trade fairs . ||| De las sobras de la producción de muebles el joven diseñador comenzó a crear bolsas de cuero y accesorios ya que no quería desperdiciar ningún material y comenzó a venderlos junto con su colección de muebles en ferias.
D'Or is married to Pazit , formerly a jewelry designer and now his manager . ||| D'Or está casado con Pazit, antigua diseñadora de joyas y ahora su gerente.
Trinidadian designer Peter Minshall is renowned not only for his Carnival costumes but also for his role in opening ceremonies of the Barcelona Olympics , the 1994 FIFA World Cup , the 1996 Summer Olympics , and the 2002 Winter Olympics , for which he won an Emmy Award . ||| El diseñador trinitense Peter Minshall es reconocido no sólo por sus trajes de carnaval, sino también por su papel en las ceremonias de apertura de los Juegos Olímpicos de Barcelona, la Copa Mundial de la FIFA de 1994, los Juegos Olímpicos de Verano de 1996, y los Juegos Olímpicos de Invierno de 2002, por los que ganó un Premio Emmy.
Alice and Ginevra show a perfect mastery of the runway in their respective performances and the designer points them as his own favorites . ||| Alice y Ginevra muestran un dominio perfecto de la pista en sus respectivas actuaciones y el diseñador los señala como sus propios favoritos.
Designer Gutzon Borglum constantly praised Luigi for his great abilities as a classically trained stone carver : " He is worth any three men in America for this particular type of work . " ||| El diseñador Gutzon Borglum alabó constantemente a Luigi por sus grandes habilidades como tallador de piedra de formación clásica: " Vale la pena tener tres hombres en América por este tipo de trabajo en particular ".
When the hydro bus disintegrated on landing , the chief designer and his assistant were strapped into the G-45 for a test drop ; they survived , but the project was cancelled . ||| Cuando el autobús hidroeléctrico se desintegró en el aterrizaje, el diseñador jefe y su asistente fueron atados en el G-45 para una caída de prueba; sobrevivieron, pero el proyecto fue cancelado.
Fashion designer Paul Poiret commented in his autobiography " King of Fashion " , " I shall always see Mounet - Sully in " Oedipus Rex " , blind , coming down the steps of the temple , and saying in a suave voice : ' Children of ancient Cadmus , young successors . . . ' ||| El diseñador de moda Paul Poiret comentó en su autobiografía " Rey de la Moda ", " Siempre veré a Mounet - Sully en " Edipo Rex ", ciego, bajando por los escalones del templo, y diciendo en voz suave :'Hijos de Cadmus antiguo, jóvenes sucesores....
He appeared on the cover of MIDWEEK and at 23 was called `` AMERICA ' S HOTTEST DESIGNER '' that fall he was the winner of the VH1 Reality Show called `` Glam GOD '' hosted by Vivica A . ||| Apareció en la portada de MIDWEEK y a los 23 años fue llamado `` AMERICA 'S HOTTEST DESIGNER '' ese otoño fue el ganador del VH1 Reality Show llamado `` Glam GOD '' organizado por Vivica A.
Benjamin George Bowden ( 3 June 1906 – 6 March 1998 ) was a British industrial designer , who is known mostly for his work on automobiles and bicycles . ||| Benjamin George Bowden (3 de junio de 1906 - 6 de marzo de 1998) fue un diseñador industrial británico, conocido principalmente por su trabajo en automóviles y bicicletas.
The Soviets also captured schematics for the gun and the designer himself . ||| Los soviéticos también capturaron esquemas para el arma y el propio diseñador.
The former chief designer of Audi Hartmut Warkuss saw his talent and potential immediately and offered him a scholarship for the Royal College of Art in London , the international elite college in design . ||| El ex diseñador jefe de Audi Hartmut Warkuss vio su talento y potencial inmediatamente y le ofreció una beca para el Royal College of Art de Londres, la universidad de élite internacional en diseño.
In Italy , the designer Gio Ponti was famous for his streamlined designs . ||| En Italia, el diseñador Gio Ponti fue famoso por sus diseños aerodinámicos.
Tom Tjaarda ( July 23 , 1934 – June 2 , 2017 ) was an automobile designer noted for his work on a broad range of automobiles — estimated at over eighty — from exotic sports cars including the Ferrari 365 California , De Tomaso Pantera and Aston Martin Lagonda Coupé to high - volume popular cars including the first generation Ford Fiesta ( 1972 ) and the Fiat 124 Spider ( 1966 ) . ||| Tom Tjaarda (23 de julio de 1934 - 2 de junio de 2017 ) fue un diseñador de automóviles conocido por su trabajo en una amplia gama de automóviles — estimados en más de ochenta — de los coches deportivos exóticos incluyendo el Ferrari 365 California, De Tomaso Pantera y Aston Martin Lagonda Coupé a coches populares de alto volumen incluyendo el Ford Fiesta de primera generación ( 1972 ) y el Fiat 124 Spider ( 1966 ).
The designer of the structure is unknown , however , it was possibly Jensen himself , or his friend , prairie school architect Hugh Garden . ||| El diseñador de la estructura es desconocido, sin embargo, fue posiblemente el propio Jensen, o su amigo, arquitecto de la escuela de pradera Hugh Garden.
Aside from music , Shelby is a UX Designer / Graphic Designer / Painter and his work spans from album layouts ( most notably Ire Works by The Dillinger Escape Plan ) , logos and interface designs . ||| Aparte de la música, Shelby es un diseñador UX / Diseñador Gráfico / Pintor y su trabajo abarca desde diseños de álbumes ( sobre todo Ire Works by The Dillinger Escape Plan ), logotipos y diseños de interfaces.
There were two dirt track race cars called " Jimmy " and " Jimmy , Jr. " after the chief designer and his son . ||| Había dos coches de carreras de pista de tierra llamados "Jimmy" y "Jimmy, Jr." después del diseñador jefe y su hijo.
The rifle 's designer , Mikhail Kalashnikov lived in Izhevsk until his death in 2013 . ||| El diseñador del rifle, Mikhail Kalashnikov vivió en Izhevsk hasta su muerte en 2013.
He trained from 1701 to 1702 with the Brussels tapestry designer Lodewijk van Schoor who had established himself in Antwerp in 1696 . ||| Se formó de 1701 a 1702 con el diseñador de tapices de Bruselas Lodewijk van Schoor que se había establecido en Amberes en 1696.
In 2014 , American firearms designer Jim Sullivan provided a video interview regarding his contributions to the M16 / M4 family of rifles when working for Armalite . ||| En 2014, el diseñador estadounidense de armas de fuego Jim Sullivan proporcionó una entrevista en video sobre sus contribuciones a la familia M16 / M4 de rifles cuando trabaja para Armalite.
Lithgow was chief draughtsman - designer and his work was crucial to their strategy of standardising hull shapes and components , thus increasing efficiency and profitability . ||| Lithgow fue jefe de proyector - diseñador y su trabajo fue crucial para su estrategia de estandarización de las formas y componentes del casco, aumentando así la eficiencia y rentabilidad.
His father was a movie theatre projector designer and his grandfather made parts for phonograph machines . ||| Su padre fue diseñador de proyectores de cine y su abuelo hizo piezas para máquinas de fonógrafo.
Mayén was an industrial designer , and following his graduation from Columbia , taught classes in advertising design at his alma mater , Cooper Union , and The New School , both in Manhattan . ||| Mayén fue diseñador industrial, y después de su graduación en Columbia, impartió clases de diseño publicitario en su alma mater, Cooper Union, y The New School, ambos en Manhattan.
The designer saw his original clothing at the National Museum of Costume . ||| El diseñador vio su ropa original en el Museo Nacional de Traje.
Indeed , models basically play the same role in economics as in fashion : they provide an articulated frame on which to show off your material to advantage ... ; a useful role , but fraught with the dangers that the designer may get carried away by his personal inclination for the model , while the customers may forget that the model is more streamlined than reality . ||| De hecho, los modelos juegan básicamente el mismo papel en la economía que en la moda : proporcionan un marco articulado en el que mostrar su material a ventaja... ; un papel útil, pero lleno de los peligros que el diseñador puede dejarse llevar por su inclinación personal por el modelo, mientras que los clientes pueden olvidar que el modelo es más racional que la realidad.
Despite his initial anger , the designer , Walter Allward , sees amazing carving skills within Klara , and how the portrait of the young man 's face increases the much desired allegory for those youthful men who were lost in the war . ||| A pesar de su ira inicial, el diseñador, Walter Allward, ve sorprendentes habilidades de talla dentro de Klara, y cómo el retrato del rostro del joven aumenta la alegoría tan deseada para esos hombres jóvenes que se perdieron en la guerra.
Internationally acclaimed Ghanaian - British designer Ozwald Boateng introduced African print suits in his 2012 collection . ||| Aclamado internacionalmente ghanés - el diseñador británico Ozwald Boateng introdujo trajes de impresión africanos en su colección 2012.
The designer Romeo Gigli used me as his muse , and designed an entire collection on me . ||| El diseñador Romeo Gigli me usó como su musa, y diseñó toda una colección sobre mí.
In his book , " Craft of Gardens " , the garden designer Ji Cheng wrote : " The spirit and the charm of mountains and forests must be studied in depth ; ... only the knowledge of the real permits the creation of the artificial , so that the work created possesses the spirit of the real , in part because of divine inspiration , but especially because of human effort . ||| En su libro, "La artesanía de los jardines", el diseñador de jardín Ji Cheng escribió: "El espíritu y el encanto de las montañas y los bosques deben estudiarse en profundidad;... sólo el conocimiento de lo real permite la creación de lo artificial, de modo que la obra creada posee el espíritu de lo real, en parte debido a la inspiración divina, pero especialmente debido al esfuerzo humano.
Fashion designer Jasper Conran is his son with his second wife , writer Shirley Conran . ||| El diseñador de moda Jasper Conran es su hijo con su segunda esposa, la escritora Shirley Conran.
Costume designer William Ware Theiss began working on new designs for the Starfleet uniforms , some based on his creations for " The Original Series " , others being a radical departure . ||| El diseñador de vestuario William Ware Theiss comenzó a trabajar en nuevos diseños para los uniformes de la Flota Estelar, algunos basados en sus creaciones para " The Original Series ", otros siendo una partida radical.
The game 's designer , Phil Fish , became renowned in a way unusual for game developers due to his prominence in " " , which released in 2012 . ||| El diseñador del juego, Phil Fish, se hizo famoso de una manera inusual para los desarrolladores de juegos debido a su prominencia en " ", que se lanzó en 2012.
Billionaire industrial designer , and founder of the Dyson company , James Dyson has pledged his support for the project . ||| Billonario diseñador industrial, y fundador de la empresa Dyson, James Dyson ha prometido su apoyo para el proyecto.
Philip Anthony Treacy ( born 26 May 1967 ) is an Irish award - winning haute couture milliner , or hat designer , who has been mostly based in London for his career , and who was described by " Vogue " magazine as " perhaps the greatest living milliner " . ||| Philip Anthony Treacy (Londres, 26 de mayo de 1967) es un diseñador de sombreros de alta costura irlandés, que ha tenido su sede en Londres durante su carrera y que fue descrito por la revista Vogue como " quizás el mejor diseñador viviente ".
During the first years of the SECR , express passenger services were well served by Wainwright ' s ' D ' and ' E ' 4-4-0 classes but loads continued to increase and by 1912 the designer realised that he would soon need more powerful locomotives . ||| Durante los primeros años de la SECR, los servicios de pasajeros exprés fueron bien atendidos por las clases " D " y " E " de Wainwright, pero las cargas siguieron aumentando y en 1912 el diseñador se dio cuenta de que pronto necesitaría locomotoras más potentes.
Macdonald 's training as a designer and his interest in children 's paintings encouraged his experimentation with abstract art . ||| Macdonald's formación como diseñador y su interés en la pintura infantil alentó su experimentación con el arte abstracto.
Francesco Laparelli was the city 's principal designer and his plan departed from medieval Maltese architecture , which exhibited irregular winding streets and alleys . ||| Francesco Laparelli fue el diseñador principal de la ciudad y su plan partió de la arquitectura medieval maltesa, que exhibió calles y callejones sinuosos irregulares.
Every year , the designer takes his guests into a surreal world . ||| Cada año, el diseñador lleva a sus invitados a un mundo surrealista.
As the lead designer in the firm Bebb and Gould , with his partner , Charles H. Bebb , Gould was responsible for many notable Pacific Northwest buildings , such as the original Seattle Art Museum and for the campus plan of the University of Washington . ||| Como diseñador principal en la firma Bebb y Gould, con su socio, Charles H. Bebb, Gould fue responsable de muchos edificios notables del noroeste del Pacífico, como el original Museo de Arte de Seattle y para el plan del campus de la Universidad de Washington.
Fashion designer Paul Poiret played himself . ||| El diseñador de moda Paul Poiret jugó él mismo.
In this session , the designer Charles - Nicolas Cochin was also admitted for his design of that print . ||| En esta sesión, el diseñador Charles - Nicolas Cochin también fue admitido por su diseño de esa impresión.
In 2010 , the designer presented his forth collection , " Slave " , as a part of Fashion East Menswear Installation . ||| En 2010, el diseñador presentó su cuarta colección, " Esclavo ", como parte de Fashion East Menswear Installation.
Michael McDonald ( born c. 1963 ) is an American costume designer who was nominated for both a Tony Award and a Drama Desk Award in 2009 for his work on the Broadway revival of the musical " Hair " . ||| Michael McDonald (nacido en 1963) es un diseñador de vestuario estadounidense que fue nominado para un Tony Award y un Drama Desk Award en 2009 por su trabajo en el revival de Broadway del musical " Hair ".
The designer of the game , Kevin Wilson , claims that he can win equally well no matter which team he is playing . ||| El diseñador del juego, Kevin Wilson, afirma que puede ganar igualmente bien no importa el equipo que está jugando.
The head designer discussed his casting : " It seemed like a great idea to me , as casting through Instagram seemed cool , current and strong . ||| El diseñador principal habló de su casting: "Me pareció una gran idea, ya que el casting a través de Instagram parecía fresco, actual y fuerte.
The fashion designer Alexander McQueen committed suicide by hanging himself at his flat in 7 Green Street in 2010 . ||| El diseñador de moda Alexander McQueen se suicidó colgándose en su apartamento en 7 Green Street en 2010.
Fez " designer and Polytron founder Phil Fish gained celebrity status for his outspoken public persona and his prominence in the 2012 documentary " " , which detailed " Fez " final stages of development and Polytron 's related legal issues . ||| Fez " El diseñador y fundador de Polytron Phil Fish ganó el estatus de celebridad por su personalidad pública abierta y su prominencia en el documental de 2012 " ", que detallaba las etapas finales de desarrollo de " Fez " y las cuestiones jurídicas relacionadas con Polytron.
Production designer Simon Bowles won an award from the British Film Designers Guild on 27 January 2013 for his production design on this film . ||| El diseñador de producción Simon Bowles ganó un premio del British Film Designers Guild el 27 de enero de 2013 por su diseño de producción en esta película.
The designer , Draper Kauffman , had been trying to develop a `` global strategy game '' for many years when he received a copy of Illuminati . ||| El diseñador, Draper Kauffman, había estado tratando de desarrollar un "juego de estrategia global" durante muchos años cuando recibió una copia de Illuminati.
Mannara 's mother is a jewellery designer and her father is a lawyer . ||| La madre de Mannara es diseñadora de joyas y su padre es abogado.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, una tímida diseñadora de personajes que creó el inmensamente popular perro rosa Maromi, se encuentra bajo presión para repetir su éxito.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| La diseñadora de vestuario Julie Weiss también fue nominada para su trabajo, pero perdió ante James Acheson de " Restauración ".
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Este evento consolidó la creciente colaboración con Stella Jean, ya que la diseñadora está ampliando su trabajo a más países donde trabaja la Iniciativa :
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| La diseñadora abrió su primera tienda en 1992 en 113 Greene Street en el distrito Soho de Nueva York.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| La diseñadora de Dior Fine Jewelry Victoire de Castellane lanzó su propio reloj llamado " Le D de Dior " (en francés: " The D of Dior " ).
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Hoy ella está buscando vender su Donna Karan negocio, menos de un año después de que el diseñador de moda dimitió de su marca homónimo.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| París fue el destino final durante la temporada de espectáculos de invierno y la diseñadora británica Vivienne Westwood la hizo la modelo principal en su espectáculo.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| fue una diseñadora de vestuario británica, que fue nominada a los Premios de la Academia por sus diseños en " Agatha " ( 1979) y " Reds " ( 1981).
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| A partir de ese momento la diseñadora eligió su manera muy individual cenada por fuertes socios como The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| La diseñadora Patricia Zipprodt fue nominada para un Tony Award y un Drama Desk Award por sus diseños de vestuario en el renacimiento de “Alice in Wonderland ”.
The designer also created a line of home accessories called Swell , based on a book series she co - wrote with friend Ilene Rosenzweig , which made its debut at Target in 2003 . ||| El diseñador también creó una línea de accesorios para el hogar llamada Swell, basado en una serie de libros que co - escribió con la amiga Ilene Rosenzweig, que hizo su debut en Target en 2003.
Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director . ||| Su padre, Raymond W. Lewis, Jr., fue diseñador aeroespacial y su madre, Dorothy Borwick Lewis McIntyre, directora recreativa.
Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume . ||| Supersticiosa, también insistió en el camerino 55 porque ese era su número de la suerte y requería que Hubert de Givenchy, su diseñador de mucho tiempo, se le diera un crédito en la película por su perfume.
A self - taught clothing designer , Immonen opened her first design boutique in Helsinki during World War II in 1942 which grew into a success despite the shortages of the ensuing years . ||| Un diseñador de ropa autodidacta, Immonen abrió su primera boutique de diseño en Helsinki durante la Segunda Guerra Mundial en 1942, que creció hasta convertirse en un éxito a pesar de la escasez de los años siguientes.
Her mother is a graphic designer and her father , who died when Carré was a teenager , was a designer and forensic animator . ||| Su madre es diseñadora gráfica y su padre, que murió cuando Carré era adolescente, fue diseñadora y animadora forense.
French designer and art collector Hubert de Givenchy worked with Lane on her first major coverage of European art and the art market . ||| El diseñador y coleccionista de arte francés Hubert de Givenchy trabajó con Lane en su primera gran cobertura del arte europeo y el mercado del arte.
