Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's mère est une joaillerie designer et son père est un avocat.
No director , choreographer , set designer or costume designer was hired like back in her days as career performer . ||| Aucun réalisateur, chorégraphe, concepteur de décors ou de costumes n'a été embauché comme dans ses jours comme interprète de carrière.
In 1993 , a Beverly Hills graphic designer who said she had an on-and-off relationship with Sharkey from 1985 to 1991 announced that she was suing Sharkey ' s estate . ||| En 1993, une graphiste de Beverly Hills qui a déclaré qu'elle avait eu une relation avec Sharkey de 1985 à 1991 a annoncé qu'elle poursuivait la succession de Sharkey.
Designer Nicole Miller used Lynn 's " The Last High ( Y - Tron Remix ) " for her Spring 2013 campaign . ||| Nicole Miller a utilisé Lynn's " The Last High ( Y - Tron Remix ) " pour sa campagne du printemps 2013.
Costume designer Daphne Dare used artistic license with her costumes in the serial , since male Aztecs usually only wore brief loincloths and cloaks , while women were often topless . ||| Costume designer Daphne Dare a utilisé la licence artistique avec ses costumes en série, puisque les hommes Aztèques ne portaient généralement que de courtes pagnes et des manteaux, tandis que les femmes étaient souvent sans sommet.
Her mother , Tessa , an interior designer spent time with her children playing tennis during their childhood . ||| Sa mère, Tessa, une designer d'intérieur a passé du temps avec ses enfants à jouer au tennis pendant leur enfance.
Her maternal grandmother was a talented designer herself , and she displayed talent as a young girl in drawing and making clothes for her dolls . ||| Sa grand-mère maternelle était une créatrice talentueuse elle-même, et elle a fait preuve de talent en tant que jeune fille dans le dessin et la confection de vêtements pour ses poupées.
Anne Fogarty ( February 2 , 1919 – January 15 , 1980 ) was an American fashion designer , active 1940–80 , who was noted for her understated , ladylike designs that were accessible to American women on a limited income . ||| Anne Fogarty, née le 2 février 1919 et décédée le 15 janvier 1980, est une créatrice de mode américaine.
The designer praised her look and strong photographs , but criticized her runway walk as well as her lack of eye contact . ||| La designer a loué son look et des photos fortes, mais a critiqué sa marche sur piste ainsi que son manque de contact visuel.
Her designer was John Henslow , and she was identical with his contemporaneous except that " Echo " was a ship - sloop and " Busy " was a brig - sloop . ||| Son concepteur était John Henslow, et elle était identique à son contemporain, sauf que " Echo " était un bateau - sloop et " Busy " était un brick - sloop.
Urai has also worked as a freelance graphic designer and video game journalist and through her work with Microsoft she has been sponsored by the company , wearing an Xbox 360 logo on her gear . ||| Urai a également travaillé comme graphiste indépendante et journaliste de jeux vidéo et grâce à son travail avec Microsoft, elle a été sponsorisée par l'entreprise, portant un logo Xbox 360 sur son équipement.
In October 2014 , following the publication of the authorised biography Vivienne Westwood by the fashion designer and her co - author Ian Kelly , Gorman accused the authors and the publisher Picador of plagiarising substantial sections of material from his book " " . ||| En octobre 2014, suite à la publication de la biographie autorisée Vivienne Westwood par la créatrice de mode et son coauteur Ian Kelly, Gorman a accusé les auteurs et l'éditeur Picador de plagier des parties substantielles du matériel de son livre ".
Judianna Makovsky ( born August 24 , 1967 ) is an American costume designer , who is perhaps best known for her work on the films " Harry Potter and the Philosopher 's Stone " ( 2001 ) , " Seabiscuit " ( 2003 ) and " The Hunger Games " ( 2012 ) , as well as various films within the Marvel Cinematic Universe . ||| Judianna Makovsky (née le 24 août 1967) est une créatrice de costumes américaine, qui est peut-être plus connue pour son travail sur les films " Harry Potter and the Philosopher's Stone " ( 2001 ), " Seabiscuit " ( 2003 ) et " The Hunger Games " ( 2012 ), ainsi que divers films dans l'univers cinématographique Marvel.
One of the former residents of Satoya , however , turns out to be a famous designer who owns a run-down villa on Miyakojima that she offers to let Jun turn into a inn . ||| L'un des anciens résidents de Satoya, cependant, s'avère être une célèbre designer qui possède une villa en ruine sur Miyakojima qu'elle propose de laisser Jun se transformer en auberge.
She became a designer herself at the company during the early 1930s and created a number of patterns on bone china and Queen ’s ware for Wedgwood . ||| Elle est devenue designer elle-même à l'entreprise au début des années 1930 et a créé un certain nombre de modèles sur la porcelaine osseuse et Queen pour Wedgwood.
The designer also said she had to make some adaptations to a suit worn by Ormond , as she is a completely different body shape to her character , Vivien Leigh . ||| La créatrice a également dit qu'elle devait faire quelques adaptations à un costume porté par Ormond, car elle est une forme de corps complètement différente de son personnage, Vivien Leigh.
The American designer Anne Fogarty was particularly noted for her full - skirted designs worn over crinoline petticoats , which were always separate garments from the dress to enable ease of movement and travelling . ||| La créatrice américaine Anne Fogarty a été particulièrement remarquée pour ses motifs à jupes pleines portés sur des jupons crinolines, qui étaient toujours des vêtements séparés de la robe pour faciliter le mouvement et le voyage.
American urban landscape designer Renée Gunter uses this plant in her South Los Angeles lawn as a drought - resistant alternative to thirstier plants . ||| La designer américaine Renée Gunter utilise cette plante dans sa pelouse de South Los Angeles comme alternative à la sécheresse - résistante aux plantes plus assoiffées.
When she returned to Alabama she hired a designer for a hand-operated device to keep a windshield clear and had a local company produce a working model . ||| Lorsqu'elle est retournée à l'Alabama, elle a embauché un concepteur pour un dispositif à commande manuelle afin de garder un pare-brise dégagé et une entreprise locale a produit un modèle de travail.
Shoulder pads originally became popular for women in the 1930s when fashion designer Elsa Schiaparelli included them in her designs of 1931 . ||| Les coussinets d'épaule sont devenus populaires pour les femmes dans les années 1930 quand la créatrice de mode Elsa Schiaparelli les a inclus dans ses dessins de 1931.
Then the designer insists the home owner leave and do not return to their house in 2 days as the designer and her crew prepares to finish renovating their house with a budget under $ 5000 . ||| Puis la créatrice insiste pour que le propriétaire de la maison parte et ne retourne pas dans leur maison dans 2 jours alors que la créatrice et son équipe se préparent à finir de rénover leur maison avec un budget inférieur à 5000 $.
Rachel Hauck is a scenic designer based in New York City who is known for her work in Anaïs Mitchell 's musical " Hadestown " on and off - Broadway and in London , John Leguizamo 's " Latin History for Morons " on and off - Broadway , and her extensive off - Broadway work . ||| Rachel Hauck est une scénariste basée à New York qui est connue pour son travail dans Anaïs Mitchell's musical " Hadestown " sur et hors - Broadway et à Londres, John Leguizamo's " Latin History for Morons " sur et hors - Broadway, et son vaste travail hors - Broadway.
Costume designer Karyn Wagner spoke of her role within " The Possibilities " , more so her involvement in the van sequence with Cassidy , Fiore and DeBlanc , wherein Wagner stated , " For a stunt like this , you have to consider what you can get 8 to 12 of , because you nee multiple takes for principal actors . ||| Costume designer Karyn Wagner a parlé de son rôle dans " The Possibilitys ", plus ainsi son implication dans la séquence de van avec Cassidy, Fiore et DeBlanc, où Wagner a déclaré, " Pour une cascade comme celle-ci, vous devez considérer ce que vous pouvez obtenir 8 à 12 de, parce que vous ne plusieurs prend pour les acteurs principaux.
In her collection " Ariege " , fashion designer Marcela Calvet named one of her most sought - after handbags " Corinne " , in her honor . ||| Dans sa collection " Ariege ", la créatrice de mode Marcela Calvet a nommé l'un de ses sacs à main les plus recherchés " Corinne ", en son honneur.
In 2003 , the designer launched her Dolly Girl fragrance together with several limited edition sets in the Dolly Girl series . ||| En 2003, la designer a lancé son parfum Dolly Girl ainsi que plusieurs sets d'édition limitée dans la série Dolly Girl.
British designer Gina Franklyn sold British fashions out of her shop 99 , located at 99 MacDougal Street in New York 's Greenwich Village . ||| La designer britannique Gina Franklyn a vendu des vêtements de mode britanniques dans sa boutique 99, située au 99 MacDougal Street dans Greenwich Village de New York.
She was the eldest daughter of the merchant Herman Kohany ( 1882–1942 ) who perished in the Holocaust under unknown circumstances , and Paulina Kohany , née Raaber ( 1882–1942 ) , a porcelain designer in her youth , who was killed along with her younger daughter Hilde Kohany ( 1920–1942 ) in Treblinka . ||| Elle était la fille aînée du marchand Herman Kohany ( 1882-1942 ) qui a péri dans l'Holocauste dans des circonstances inconnues, et Paulina Kohany, née Raaber ( 1882-1942 ), une créatrice de porcelaine dans sa jeunesse, qui a été tuée avec sa fille cadette Hilde Kohany ( 1920-1942 ) à Treblinka.
Bobbie 's father was theologian Morris S. Seale , her sister was Thea Porter the fashion designer and her brother was writer and journalist Patrick Seale . ||| Bobbie's père était théologien Morris S. Seale, sa sœur était Thea Porter la créatrice de mode et son frère était écrivain et journaliste Patrick Seale.
The biological mother of Mia who was often portrayed as faceless character who lived in New York as fashion designer having her face always covered by a sculpture , in the 1st half of the show . ||| La mère biologique de Mia qui était souvent dépeint comme un personnage sans visage qui vivait à New York comme designer de mode ayant son visage toujours couvert par une sculpture, dans la première moitié de l'exposition.
Two days later the project was revealed to be a hoax perpetrated by Funny Or Die , after the video 's costume designer posted the experience on her online resume . ||| Deux jours plus tard, le projet s'est révélé être un canular perpétré par Funny Or Die, après que la designer de la vidéo a posté l'expérience sur son CV en ligne.
designer Dhafali Devi won the award for her rug under the Discipline category . ||| La créatrice Dhafali Devi a remporté le prix pour son tapis dans la catégorie Discipline.
The Sui by Anna Sui line and her jeans line continued under operation after the designer left her designer job at Gilmar 's Cento X Cento . ||| La ligne Sui by Anna Sui et sa ligne de jeans ont continué à fonctionner après que la designer a quitté son travail de designer au Cento X Cento de Gilmar.
As costume designer Rita Riggs described in her 2001 Archive of American Television interview , Lear 's idea was to create the feeling of sepia tones , in an attempt to make viewers feel as if they were looking at an old family album . ||| Comme l'a décrit Rita Riggs dans son interview 2001 Archive of American Television, L'idée de Lear était de créer le sentiment des tons de sépia, dans une tentative de faire sentir aux téléspectateurs qu'ils regardaient un vieux album familial.
After her mother 's death , New York City fashion designer Lisa Rayborn ( Natasha Henstridge ) returns to her hometown and family farm . ||| Après la mort de sa mère, la créatrice de mode de New York Lisa Rayborn ( Natasha Henstridge ) retourne à sa ville natale et à sa ferme familiale.
Rita Ryack is a costume designer who was nominated for an Academy Award for Best Costume Design at the 73rd Academy Awards for her work in " How the Grinch Stole Christmas " . ||| Rita Ryack est une créatrice de costumes qui a été nommée pour un Oscar pour le meilleur design de costume aux 73ème Academy Awards pour son travail dans " How the Grinch Stole Christmas ".
It is important that in order to be an industrial design the product has to be produced in an industrial way , for example an artisan ca not be considered an industrial designer although she may challenge the same aspects of a product . ||| Il est important que, pour être un dessin industriel, le produit doit être produit d'une manière industrielle, par exemple un artisan ne soit pas considéré comme un designer industriel bien qu'elle puisse contester les mêmes aspects d'un produit.
Elizabeth Florence Emanuel ( née Weiner , born 5 July 1953 ) is a British fashion designer who is best known for designing , with her former husband David Emanuel , the wedding dress worn by Diana , Princess of Wales , in 1981 . ||| Elizabeth Florence Emanuel (née Weiner, née le 5 juillet 1953 ) est une créatrice de mode britannique qui est surtout connue pour la conception, avec son ancien mari David Emanuel, la robe de mariée portée par Diana, Princesse du Pays de Galles, en 1981.
designer Dhafali Devi won the award for her rug . ||| La créatrice Dhafali Devi a remporté le prix pour son tapis.
The designer Jill Richards , herself a Hollywood actress of around the same era , favoured it in her collections of the 1970s , attracting a clientele of names such as Nancy Reagan . ||| La créatrice Jill Richards, elle-même actrice hollywoodienne d'environ la même époque, l'a favorisée dans ses collections des années 1970, attirant une clientèle de noms tels que Nancy Reagan.
Beulah Elizabeth Hazelrigg Brown ( November 24 , 1892 – March 26 , 1987 ) was a Hoosier painter , educator , and textile designer who is best known for her bold , colorful , abstract patterns for fabrics , as well as figure , genre , landscapes , and floral still - life paintings in watercolor , her preferred media . ||| Beulah Elizabeth Hazelrigg Brown (24 novembre 1892 – 26 mars 1987) était une peintre, éducatrice et designer textile de Hoosier qui est surtout connue pour ses motifs audacieux, colorés, abstraits pour les tissus, ainsi que pour la figure, le genre, les paysages, et les peintures de nature florale en aquarelle, ses médias préférés.
Chanel chief designer Karl Lagerfeld noted Zhou Xun for her strong fashion sense , describing the actress as " a synthesis of young Coco Chanel and Ballet Troupe Zizi Jeanmaire . " ||| La designer en chef de Chanel Karl Lagerfeld a noté Zhou Xun pour son sens fort de la mode, décrivant l'actrice comme " une synthèse de jeune Coco Chanel et Ballet Troupe Zizi Jeanmaire. "
She portrayed fashion designer `` Margo Lynley '' from the serial ' s inception until 1992 when she left to begin a family . ||| Elle a représenté la créatrice de mode `` Margo Lynley'''de la création de la série'jusqu'en 1992, quand elle est partie pour fonder une famille.
Under the label " LalicA " , the designer has produced her clothing line since 2002 . ||| Sous l'étiquette < < LalicA > >, la créatrice produit sa ligne de vêtements depuis 2002.
He also brought first - time collaborators production designer Barbara Ling based on her work in recreating historical settings in " The Doors " , and costume designer Arianne Phillips , who had a strong client list to her name including Tom Ford , James Mangold and Madonna . ||| Il a également amené des collaborateurs du premier temps, Barbara Ling, designer de production basée sur son travail dans la recréation de cadres historiques dans "The Doors ", et la créatrice de costumes Arianne Phillips, qui avait une forte liste de clients à son nom, y compris Tom Ford, James Mangold et Madonna.
Pope opted to leave Naughty Dog around 2010 , after " " was released , to move to Saitama , Japan , along with his wife Keiko , a game designer herself . ||| Pope a choisi de quitter Naughty Dog vers 2010, après " a été libéré, pour déménager à Saitama, Japon, avec sa femme Keiko, une designer de jeu elle-même.
Production designer Mihaela Poenaru drew on her recollections of the period to prepare the locations . ||| La créatrice de production Mihaela Poenaru s'est inspirée de ses souvenirs de l'époque pour préparer les lieux.
Regarding The Silence of the Lambs mentioned above , I remember a behind-the-scenes documentary on it , and in it the costume designer for the film mentioned that she specifically strove for more ageless clothing for everyone , rather than what would have been characteristic of the early 1990s . ||| Concernant The Silence of the Lambs mentionné ci-dessus, je me souviens d'un documentaire derrière les coulisses sur lui, et dans celui-ci la créatrice de costumes pour le film a mentionné qu'elle s'est particulièrement attachée pour des vêtements sans âge pour tout le monde, plutôt que ce qui aurait été caractéristique du début des années 90.
Olga , the main character , wants to be a costumes and set designer and her dreams come true when she works as an assistant for the famous edition of " La Traviata " directed by Luchino Visconti in 1955 . ||| Olga, le personnage principal, veut être une créatrice de costumes et de décors et ses rêves se réalisent quand elle travaille comme assistante pour la célèbre édition de "La Traviata" réalisée par Luchino Visconti en 1955.
This episode introduces the station ' s graphics designer , Mona , as she draws pictures for Nas ' story for the children ' s segment `` Listen With Frank '' . ||| Cet épisode présente la designer graphique de la station, Mona, en dessinant des photos pour l'histoire de Nas pour le segment des enfants `` Écoutez avec Frank'' '.
At the same time , the designer wanted her creations to be equally as interesting on an intellectual level for parents to enjoy also . ||| Dans le même temps, la créatrice voulait que ses créations soient tout aussi intéressantes sur le plan intellectuel pour les parents d'apprécier aussi.
Although costume designer Vasuki Baskar wrote on her social media account that the first look of the film would be released on 13 November , during the Diwali festival , it was unveiled on 15 December 2012 at Yuvan Shankar Raja 's concert in Malaysia . ||| Bien que la créatrice de costumes Vasuki Baskar ait écrit sur son compte de médias sociaux que le premier regard du film serait sorti le 13 novembre, lors du festival Diwali, il a été dévoilé le 15 décembre 2012 au concert de Yuvan Shankar Raja en Malaisie.
Jenny Hellström ( born 1976 in Hofors , Gästrikland ) is both the name of a Swedish designer and her clothing brand . ||| Jenny Hellström (née en 1976 à Hofors, Gästrikland) est à la fois le nom d'un designer suédois et sa marque de vêtements.
After World War II the famous designer reestablished herself . ||| Après la Seconde Guerre mondiale, la célèbre créatrice s'est rétablie.
Prominent Lithuanian clothing designer usually organizes his collections presentations in Vilnius . ||| Le plus grand designer lituanien de vêtements organise habituellement ses présentations de collections à Vilnius.
For example , if one worker designs cars and another builds them , the designer will use his cognitive skills more frequently than the builder . ||| Par exemple, si un ouvrier conçoit des voitures et un autre les construit, le concepteur utilisera ses compétences cognitives plus fréquemment que le constructeur.
In 2017 , it was reported that the designer of Comic Sans had only used his typeface once . ||| En 2017, il a été rapporté que le concepteur de Comic Sans n'avait utilisé sa typographie qu'une seule fois.
Nilssen maintains that the ovens were designed by Torsten Hoff , a renowned designer of ovens , who established himself as a sculptor in Christiania in 1711 , working there until his 1754 death . ||| Nilssen soutient que les fours ont été conçus par Torsten Hoff, un designer renommé des fours, qui s'est établi comme sculpteur en Christiania en 1711, travaillant là jusqu'à sa mort 1754.
There is a chance that additional information could impede the reusability of the service as the service consumer designer may streamline his design based on this knowledge . ||| Il y a une chance que des informations supplémentaires pourraient nuire à la réutilisabilité du service puisque le concepteur consommateur de service peut rationaliser sa conception en fonction de ces connaissances.
Elwood Engel , famous for being lead designer of the 1961 Lincoln Continental and for his work as chief designer at Chrysler in the 1960s , was Staff Stylist ( and consequently roamed all of the design studios ) at Ford during this period and worked very closely with John Najjar in developing not only the 1958 , but also the 1959 update . ||| Elwood Engel, célèbre pour être le concepteur principal du Lincoln Continental 1961 et pour son travail de designer en chef chez Chrysler dans les années 1960, était Stylist Staff (et par conséquent a erré tous les studios de design ) chez Ford pendant cette période et a travaillé très étroitement avec John Najjar dans le développement non seulement la 1958, mais aussi la mise à jour 1959.
A successful and well known designer and craftsman in hand wrought silver jewelry by vocation , Joe 's greatest creative drive went into his work in sculpture . ||| Designer et artisan à succès et bien connu dans les bijoux en argent forgé main par vocation, le plus grand moteur créatif de Joe est allé dans son travail dans la sculpture.
He , probably more than any designer knew his customer and understood her . " ||| Il, probablement plus que n'importe quel designer connaissait son client et l'a compris. "
O. S. Nock describes it as ‘ the most disappointing and tactless act in his short and stormy career as CME , ’ and Allen stated ‘ he turned it into a machine of such hideous appearance as might well have made its designer turn in his grave . ||| O. S. Nock le décrit comme ‘ l'acte le plus décevant et le plus tact dans sa courte et orageuse carrière comme CME, et Allen a déclaré ‘ il l'a transformé en une machine d'apparence aussi horrible que pourrait bien avoir fait son concepteur tourner dans sa tombe.
In October 1998 , Hyundai complained to the BBC about what they described as " bigoted and racist " comments he made at the Birmingham Motor Show , where he was reported as saying that the people working on the Hyundai stand had " eaten a dog " and that the designer of the Hyundai XG had probably eaten a spaniel for his lunch . ||| En octobre 1998, Hyundai s'est plaint à la BBC de ce qu'ils ont qualifié de " bigoté et raciste " de commentaires qu'il a fait au Birmingham Motor Show, où il a été rapporté que les personnes travaillant sur le stand de Hyundai avaient " mangé un chien " et que le concepteur de la Hyundai XG avait probablement mangé un épagnel pour son déjeuner.
In his " New York Times " review , Frank Rich wrote : " In his brilliant lighting ... the designer Dennis Parichy has captured the entire spectrum of weather known to habitues of New England beaches in August . ||| Dans sa revue " New York Times ", Frank Rich a écrit : " Dans son éclairage brillant... le designer Dennis Parichy a capturé tout le spectre du temps connu pour les habitudes des plages de la Nouvelle-Angleterre en août.
Pfitzner , a “ designer of high - class gasoline motors , transmissions , and gears ” was employed by Glen Curtiss at his Hammondsport factory . ||| Pfitzner, un designer de haute qualité de moteurs à essence, de transmissions et d'engrenages, a été employé par Glen Curtiss à son usine Hammondsport.
The designers were able to create a room for Italy , Mexico or Thailand , with one paint can being empty , which let that one designer choose whatever country he wanted . ||| Les designers ont pu créer une salle pour l'Italie, le Mexique ou la Thaïlande, avec une peinture peut être vide, ce qui permet à un designer de choisir quel pays il voulait.
In the former case , device drivers may be required which the system designer may or may not be able to rely on if he has no control over the client device -LRB- as in the case of authentication to a public website -RRB- . ||| Dans le premier cas, des pilotes de périphérique peuvent être requis sur lesquels le concepteur de système peut ou ne peut pas se fier s'il n'a aucun contrôle sur le périphérique client -LRB- comme dans le cas de l'authentification à un site public -RRB-.
1520–1601 ) was a Franc - comtois sculptor , trained as a " menuisier " or wood - worker ; as a designer of Mannerist ornaments , his published designs , such as " Oevvre de la diversite des termes , do nt on use en architecture , reduicts en ordres " , Lyon , 1572 , inspired luxury furnishings , such as dressoires , armoires and cabinets . ||| 1520-1601 ) était un sculpteur franc - comtois, formé en tant que menuisier ou ouvrier du bois ; en tant que concepteur d'ornements maniéristes, ses dessins publiés, tels que " Oevvre de la diversite des termes, nent on use en architecture, reduit en ordres ", Lyon, 1572, meubles de luxe inspirés, tels que commodes, armoires et armoires.
From the leftovers of the furniture production the young designer started to create leather bags and accessoires since he did not want to waste any material and started to sell them along with his furniture collection at trade fairs . ||| Du reste de la production de meubles, le jeune designer a commencé à créer des sacs en cuir et des accessoires puisqu'il ne voulait pas gaspiller de matériel et a commencé à les vendre avec sa collection de meubles lors de foires commerciales.
D'Or is married to Pazit , formerly a jewelry designer and now his manager . ||| D'Or est marié à Pazit, anciennement designer de bijoux et maintenant son manager.
Trinidadian designer Peter Minshall is renowned not only for his Carnival costumes but also for his role in opening ceremonies of the Barcelona Olympics , the 1994 FIFA World Cup , the 1996 Summer Olympics , and the 2002 Winter Olympics , for which he won an Emmy Award . ||| Le designer trinidadien Peter Minshall est reconnu non seulement pour ses costumes de carnaval, mais aussi pour son rôle dans les cérémonies d'ouverture des Jeux olympiques de Barcelone, de la Coupe du monde de la FIFA de 1994, des Jeux olympiques d'été de 1996 et des Jeux olympiques d'hiver de 2002, pour lesquels il a remporté un Emmy Award.
Alice and Ginevra show a perfect mastery of the runway in their respective performances and the designer points them as his own favorites . ||| Alice et Ginevra montrent une maîtrise parfaite de la piste dans leurs performances respectives et le concepteur les indique comme ses propres favoris.
Designer Gutzon Borglum constantly praised Luigi for his great abilities as a classically trained stone carver : " He is worth any three men in America for this particular type of work . " ||| Le designer Gutzon Borglum a constamment loué Luigi pour ses grandes capacités en tant que sculpteur de pierre classique : " Il vaut n'importe quel trois hommes en Amérique pour ce type de travail particulier. "
When the hydro bus disintegrated on landing , the chief designer and his assistant were strapped into the G-45 for a test drop ; they survived , but the project was cancelled . ||| Lorsque le bus hydraulique s'est désintégré à l'atterrissage, le concepteur en chef et son assistant ont été attachés au G-45 pour une chute d'essai ; ils ont survécu, mais le projet a été annulé.
Fashion designer Paul Poiret commented in his autobiography " King of Fashion " , " I shall always see Mounet - Sully in " Oedipus Rex " , blind , coming down the steps of the temple , and saying in a suave voice : ' Children of ancient Cadmus , young successors . . . ' ||| Paul Poiret a commenté dans son autobiographie " Roi de la Mode ", " Je verrai toujours Mounet - Sully dans " Oedipus Rex ", aveugle, descendant les marches du temple, et disant d'une voix suave :'Enfants de l'ancien Cadmus, jeunes successeurs....'
He appeared on the cover of MIDWEEK and at 23 was called `` AMERICA ' S HOTTEST DESIGNER '' that fall he was the winner of the VH1 Reality Show called `` Glam GOD '' hosted by Vivica A . ||| Il est apparu sur la couverture de MIDWEEK et à 23 ans a été appelé `` AMERICA'S HOTEST DESIGNER '' cet automne, il a été le gagnant du VH1 Reality Show appelé `` Glam God '' hébergé par Vivica A.
Benjamin George Bowden ( 3 June 1906 – 6 March 1998 ) was a British industrial designer , who is known mostly for his work on automobiles and bicycles . ||| Benjamin George Bowden (né le 3 juin 1906 et mort le 6 mars 1998 ) était un designer industriel britannique, connu pour ses travaux sur les automobiles et les bicyclettes.
The Soviets also captured schematics for the gun and the designer himself . ||| Les Soviétiques ont également capturé des schémas pour l'arme et le concepteur lui-même.
The former chief designer of Audi Hartmut Warkuss saw his talent and potential immediately and offered him a scholarship for the Royal College of Art in London , the international elite college in design . ||| L'ancien designer en chef d'Audi Hartmut Warkuss a immédiatement vu son talent et son potentiel et lui a offert une bourse pour le Royal College of Art de Londres, le collège international d'élite en design.
In Italy , the designer Gio Ponti was famous for his streamlined designs . ||| En Italie, le designer Gio Ponti était célèbre pour ses designs épurés.
Tom Tjaarda ( July 23 , 1934 – June 2 , 2017 ) was an automobile designer noted for his work on a broad range of automobiles — estimated at over eighty — from exotic sports cars including the Ferrari 365 California , De Tomaso Pantera and Aston Martin Lagonda Coupé to high - volume popular cars including the first generation Ford Fiesta ( 1972 ) and the Fiat 124 Spider ( 1966 ) . ||| Tom Tjaarda (né le 23 juillet 1934 et mort le 2 juin 2017 à Aston Martin Lagonda Coupé) est un designer automobile de la première génération de Ford Fiesta (1972) et de la Fiat 124 Spider (1966).
The designer of the structure is unknown , however , it was possibly Jensen himself , or his friend , prairie school architect Hugh Garden . ||| Le concepteur de la structure est inconnu, cependant, c'était peut-être Jensen lui-même, ou son ami, l'architecte de l'école de prairie Hugh Garden.
Aside from music , Shelby is a UX Designer / Graphic Designer / Painter and his work spans from album layouts ( most notably Ire Works by The Dillinger Escape Plan ) , logos and interface designs . ||| Outre la musique, Shelby est un UX Designer / Graphic Designer / Peintre et son travail s'étend des mises en page d'albums (plus particulièrement Ire Works by The Dillinger Escape Plan ), des logos et des designs d'interface.
There were two dirt track race cars called " Jimmy " and " Jimmy , Jr. " after the chief designer and his son . ||| Il y avait deux voitures de course sur piste de terre appelées " Jimmy " et " Jimmy ", Jr. " après le designer en chef et son fils.
The rifle 's designer , Mikhail Kalashnikov lived in Izhevsk until his death in 2013 . ||| Le créateur du fusil, Mikhail Kalashnikov a vécu à Izhevsk jusqu'à sa mort en 2013.
He trained from 1701 to 1702 with the Brussels tapestry designer Lodewijk van Schoor who had established himself in Antwerp in 1696 . ||| Il s'est formé de 1701 à 1702 avec le designer de tapisserie bruxellois Lodewijk van Schoor qui s'était établi à Anvers en 1696.
In 2014 , American firearms designer Jim Sullivan provided a video interview regarding his contributions to the M16 / M4 family of rifles when working for Armalite . ||| En 2014, Jim Sullivan, concepteur d'armes à feu américain, a fourni une interview vidéo sur ses contributions à la famille M16 / M4 de fusils lorsqu'il travaillait pour Armalite.
Lithgow was chief draughtsman - designer and his work was crucial to their strategy of standardising hull shapes and components , thus increasing efficiency and profitability . ||| Lithgow était le chef des dessinateurs - designer et son travail était crucial pour leur stratégie de standardisation des formes et des composants de coque, augmentant ainsi l'efficacité et la rentabilité.
His father was a movie theatre projector designer and his grandfather made parts for phonograph machines . ||| Son père était un projecteur de cinéma et son grand-père fait des pièces pour les machines de phonographe.
Mayén was an industrial designer , and following his graduation from Columbia , taught classes in advertising design at his alma mater , Cooper Union , and The New School , both in Manhattan . ||| Mayén était un designer industriel, et après son diplôme de Columbia, a enseigné des cours de design publicitaire à son alma mater, Cooper Union, et The New School, tous deux à Manhattan.
The designer saw his original clothing at the National Museum of Costume . ||| Le designer a vu ses vêtements originaux au Musée national du costume.
Indeed , models basically play the same role in economics as in fashion : they provide an articulated frame on which to show off your material to advantage ... ; a useful role , but fraught with the dangers that the designer may get carried away by his personal inclination for the model , while the customers may forget that the model is more streamlined than reality . ||| En effet, les modèles jouent fondamentalement le même rôle dans l'économie que dans la mode : ils fournissent un cadre articulé sur lequel montrer votre matériel à l'avantage... ; un rôle utile, mais chargé des dangers que le concepteur peut se laisser emporter par son penchant personnel pour le modèle, tandis que les clients peuvent oublier que le modèle est plus rationalisé que la réalité.
Despite his initial anger , the designer , Walter Allward , sees amazing carving skills within Klara , and how the portrait of the young man 's face increases the much desired allegory for those youthful men who were lost in the war . ||| Malgré sa colère initiale, le designer, Walter Allward, voit des compétences étonnantes de sculpture au sein de Klara, et comment le portrait du visage du jeune homme augmente l'allégorie tant désirée pour ces jeunes hommes qui ont été perdus dans la guerre.
Internationally acclaimed Ghanaian - British designer Ozwald Boateng introduced African print suits in his 2012 collection . ||| Internationally acclamed Ghanaian - British designer Ozwald Boateng a présenté des costumes d'impression africaine dans sa collection 2012.
The designer Romeo Gigli used me as his muse , and designed an entire collection on me . ||| Le designer Romeo Gigli m'a utilisé comme sa muse, et a conçu une collection entière sur moi.
In his book , " Craft of Gardens " , the garden designer Ji Cheng wrote : " The spirit and the charm of mountains and forests must be studied in depth ; ... only the knowledge of the real permits the creation of the artificial , so that the work created possesses the spirit of the real , in part because of divine inspiration , but especially because of human effort . ||| Dans son livre, " Craft of Gardens ", le designer de jardin Ji Cheng écrit : " L'esprit et le charme des montagnes et des forêts doivent être étudiés en profondeur ;... seule la connaissance du réel permet la création de l'artificiel, de sorte que l'œuvre créée possède l'esprit du réel, en partie à cause de l'inspiration divine, mais surtout à cause de l'effort humain.
Fashion designer Jasper Conran is his son with his second wife , writer Shirley Conran . ||| Le designer de mode Jasper Conran est son fils avec sa deuxième femme, l'écrivain Shirley Conran.
Costume designer William Ware Theiss began working on new designs for the Starfleet uniforms , some based on his creations for " The Original Series " , others being a radical departure . ||| Costume designer William Ware Theiss a commencé à travailler sur de nouveaux modèles pour les uniformes Starfleet, certains basés sur ses créations pour " The Original Series ", d'autres étant un départ radical.
The game 's designer , Phil Fish , became renowned in a way unusual for game developers due to his prominence in " " , which released in 2012 . ||| Le concepteur du jeu, Phil Fish, est devenu connu d'une manière inhabituelle pour les développeurs de jeu en raison de son importance dans " ", qui est sorti en 2012.
